0s 在下的意思是
1411s 好像应该由我来问
1414s 那么
1416s 依皇叔的意思
1418s 眼下荆州这件事
1420s 应该怎么办
1422s 子敬
1424s 这样可好
1427s 荆州是你们的
1431s 我们占借为立足之地
1433s 今日
1435s 主公亲笔立下文书给你
1437s 待我们夺取其他州郡时
1439s 再将荆州
1441s 交付东
1444s 夺取何地
1446s 西川流章暗若无道
1448s 我主打算西取西川
1450s 夺西川后
1452s 便将荆州奉还
1463s 也罢
1467s 有了这封文书
1469s 我也好向我家主公交代了
1471s 只是我家主公准与不准
1473s 我却不知
1477s 请皇叔和孔明
1479s 双双在文书上签字画押吧
1481s 孔明啊
1491s 多谢相送
1493s 请回吧
1495s 子敬
1497s 依你我的书籍
1499s 有些话
1501s 不好对自家主公说
1503s 但你我彼此相知
1505s 任何事都能直言是吗
1507s 正是
1509s 只要曹操还在是
1513s 孙刘联盟断不可分离
1515s 你我两家一旦交兵
1517s 曹操必得天下
1519s 不错
1527s 子敬回见吴侯时
1529s 勿请替我主公善意
1531s 占借荆州为我立足之本
1533s 切不可以刀剑相逼
1535s 如果
1538s 我家主公不准呢
1540s 那便是夺我立足
1547s 容身之地
1549s 无立足容身之地之人
1551s 迫不得已
1553s 只能与东吴交兵
1555s 以夺立足容身之处
1557s 那时节
1559s 江东八十一县
1561s 都不得安宁
1563s 孔明
1569s 我也有一言
1571s 请你切记
1573s 请讲
1577s 你们一旦取下西川
1579s 请务必归还荆州
1581s 否则
1583s 我家主公必然用兵
1585s 到那时
1587s 非但儿等主臣
1589s 再无立足容身之地
1591s 而且
1593s 恐怕是
1595s 生无宁日
1597s 死无葬身之所
1599s 在下谨记
1611s 告辞了
1626s 子敬你好糊涂
1628s 孔明说取西川便还荆州
1630s 怎知他何时取西川
1634s 如果他们十年不取
1636s 荆州岂非是十年不还
1638s 这等文书
1640s 有何用
1642s 这文书有用啊
1647s 公秦
1649s 你想想看
1651s 以前刘备口口声声说荆州
1653s 是朝廷的
1655s 是刘齐的
1657s 现在他终于承认
1659s 荆州是我们的
1661s 是我们介于他们的
1663s 这是我能够办到
1665s 最大的限度
1670s 此行你已是不易
1673s 休息几日再回柴仓吧
1675s 我们有多少日子没喝酒了
1677s 相见不易
1679s 今日你我痛饮一场
1681s 如何 好啊
1685s 曹操虽是是贼
1687s 但有一眼甚为精彩
1689s 何眼
1691s 对酒当歌
1693s 人生几何
1698s 今晚你我同叹而卧
1700s 抵租而眠
1702s 畅谈谈一个通宵
1704s 好
1708s 来
1719s 你记得吗
1721s 当年我刚刚带兵
1723s 便遭逢大败
1725s 好不容易死里逃生
1729s 到了贵府上
1731s 那时我跟弟兄们
1733s 三天没吃的
1737s 想向你借二斗米
1742s 那时候你是大富户啊
1744s 家中有粮两屯
1748s 你只是其中一屯说
1751s 拿去吧
1753s 啊
1755s 天哪
1757s 那一屯粮是三千弹
1759s 能救多少条人命
1761s 在当时
1768s 有粮就有兵
1772s 我就用那屯粮
1780s 招了三千兵丁
1791s 那一日你来到我府中
1795s 我一眼就看出来了
1800s 是将相之才
1802s 我也自信能够
1812s 安邦治国平天下
1814s 但想不到
1831s 想不到碰上个诸葛亮
1833s 我天敌啊
1843s 光景你这心里头
1847s 是不是恨透了
1849s 诸葛亮啊
1852s 这么跟你说吧
1858s 在这天底下
1864s 我最恨的人不是曹操
1871s 而是诸葛亮
1873s 最敬的人不是曹操
1974s 也是啦
1998s 当初军营张挂下藩
2000s 据说刘备死了干夫人
2006s 知道了下去吧
2026s 诺
2028s 可让刘备束手就擒
2033s 荆州反掌可得
2037s 请快快释下
2041s 刘备死了发妻
2043s 必将续娶一妹
2045s 年当吉吉
2047s 我们可上场主攻
2049s 找刘备入赘东吴
2051s 只要他进了荆康我们就扣下他
2053s 逼诸葛亮由荆州来换
2056s 你怕刘备不肯
2062s 我告诉你
2064s 他恨不得跟东吴成亲家呢
2066s 问题不在刘备
2068s 那在谁
2070s 太夫人
2075s 小姐和刘备相差三十岁
2077s 太夫人岂能够允许
2083s 这件事根本就不必让太夫人知道
2085s 因为我们原本就
2087s 没想让小妹嫁给刘备
2092s 想以此为由
2094s 招刘备入瓮
2106s 那你如何跟主公说呢
2123s 如果孙柳两家
2125s 真能结为秦晋之后
2127s 同心抗曹的话
2129s 那当然再好不过了
2131s 可刘备他毕竟是个
2133s 年近半百的人了
2135s 我又只有这么一个妹妹
2137s 母亲又视他为掌上明珠
2139s 你这叫我母亲
2141s 如何舍得呀
2143s 如果如实相比
2145s 太夫人自然是
2147s 不会答应
2149s 公瑾的意思是
2151s 不必禀报太夫人
2153s 只是以此为由
2155s 转刘备入瓮
2157s 借此讨要荆州
2160s 紫荆你意如何
2164s 或可一试
2166s 不会激起刀兵吗
2168s 刘备一旦入瓮
2170s 便为人质
2172s 有刘备在
2174s 官张诸葛亮投鼠忌器
2176s 岂敢动刀兵啊
2200s 主公
2204s 探报数了他们的火灶
2206s 总共四千多个
2208s 以此推算
2210s 周瑜已经拥兵八万了
2212s 八万
2214s 那么再加上江东各处的兵马
2221s 吴侯有军
2223s 应当不少于十二万
2225s 主公
2227s 东务有史前来
2237s 正在福岸等候觐见主公
2239s 拜察后刻
2243s 遵命
2245s 我看此人还是
2252s 为了荆州之事而来
2254s 难道
2256s 吴侯不准我们借荆州
2258s 难说
2260s 这样吧主公
2263s 无论此人说什么
2265s 你先答应下来
2267s 不要与他发生争执
2269s 然后送此人到管一中休息
2271s 我自有安排
2279s 吕先生
2281s 吴侯对借荆州一事
2283s 有何指教
2285s 禀皇叔
2287s 我主已经准了
2289s 请皇叔
2291s 取西川之后
2293s 务必归还荆州
2295s 再不可食言备曰了
2297s 多谢吴侯
2303s 在下此行
2307s 是为另一桩事而来
2309s 请示下
2311s 听说皇叔失偶
2315s 现在有一门好亲
2317s 在下顾不避嫌
2319s 特来作为
2321s 未知尊义若何
2325s 我四海漂泊
2327s 居无定所
2329s 与其受累而丧
2331s 大不幸也
2333s 怎忍心在意亲
2335s 拖累别人
2337s 人若无妻
2339s 如乌无良
2341s 皇叔当世英雄
2343s 岂可
2345s 忠道而废人伦
2347s 吴主有一妹
2349s 美人嫌
2351s 堪奉疾咒
2353s 若两家
2355s 共结秦晋之后
2357s 则
2359s 曹贼不敢
2361s 正视南方也
2363s 这叫我实感意外
2372s 我已经
2376s 年近半百了
2378s 缤发一百
2380s 而吴
2382s 吴侯之妹正当妙龄
2384s 我怎么配得上人家呢
2386s 吴主之妹
2388s 身虽是女子
2390s 至上男儿
2392s 她说过
2394s 若非天下英雄
2396s 吴无事之
2398s 今皇叔
2400s 名扬四海
2402s 正所谓淑女配君子
2404s 岂以
2406s 年耻上下
2408s 相贤乎啊
2410s 吕先生
2416s 请问
2418s 此事可是吴侯之意
2420s 正是
2422s 吴主这样做
2426s 也是为了表达和皇叔
2428s 联手抗曹的决心
2430s 这件事情
2432s 家国两立
2434s 请皇叔
2436s 三思
2438s 好好好
2440s 多谢
2442s 吴侯厚爱
2444s 这样吧先生
2446s 可否先到驿馆休息
2448s 明日即可答复先生
2450s 可好
2453s 孙齐
2455s 好生事后先生
