0s 啊
560s 大哥 你就是心善
562s 忘了袁术大师
564s 断了咱们家粮饷啊
596s 渴死朕了
598s 还不赶快去找蜜水
602s 主公 现在都是血水
604s 没有蜜水啊
608s 去找啊
610s 皇上 皇上 外面来了位将军
625s 左将军刘备
627s 右书呈原公路将军
644s 公路将军如物
646s 刘备奉命生秦将军
648s 劫亡许昌
650s 别有不忍
652s 今日 唯叛军自绝
654s 不辱威名 刘备败上
656s 刘备还是个忠厚人哪
676s 鼎主公
709s 袁术自裁了
741s 有多少英雄豪杰
743s 都被这块石头
745s 罪将朱金
757s 叩报丞相
759s 刘备令罪驾
761s 把这川国玉玺带回来
763s 献给主公
765s 却扣下了五万兵马
767s 虚中以防袁绍大军来及
769s 虚中原本就是我的
771s 我的
774s 我自有车中将军把守
776s 干刘备何事
782s 五万兵马如何就是了
784s 那天
786s 张飞设酒宴
788s 把罪将的都给灌醉了
790s 等我醒来时
792s 一被绑在了车上
794s 刘备令我把这玉玺
796s 献给丞相
798s 我要他何用
800s 报
804s 推出去斩了
805s 丞相 饶命啊
807s 丞相 丞相
809s 丞相 丞相
811s 饶命啊丞相
816s 草人 末将在
820s 即刻给车中增兵三万
824s 让他严防虚中
826s 告诉他
828s 刘备胆敢来攻城
830s 即刻尽杀堤州来见
832s 报
835s 禀丞相 请拜兵回报
837s 堤州已经被刘备占据
839s 守将车中也被关羽斩杀
841s 堤州各郡
843s 都已见入刘备手中
856s 不可能
858s 绝对不可能
860s 车中
862s 有八万精兵
864s 驻防堤州 八万哪
866s 你就算是八万个馒头
868s 刘备也得啃杀半个月
870s 怎么可能说丢就丢
872s 丞相
877s 完全有可能
879s 你说什么
881s 丞相
883s 刘备奉命出师
885s 他手中有一枚您搬给的兵符
887s 他很可能用此兵符
889s 遍开堤州城门
891s 车中将近建此兵符以后
893s 还以为刘备
895s 是丞相派来的
928s 丞相
930s 快叫太医
932s 我病了几日了
969s 三日
972s 那病养得也差不多了吧
979s 我给你的几部兵书
983s 你可曾认真研修
987s 孩儿正在研修
989s 不可怠慢兵法之道
991s 变化无常
994s 既要熟读兵书
998s 又不能
1000s 被兵法所负
1004s 过两日我要听你心得
1006s 侄儿
1012s 孩儿在
1014s 今日
1016s 可做了些好诗文吗
1018s 儿与纪康孔戎等兵客
1020s 都有诗文唱和
1022s 好
1032s 就今日下午
1034s 拿来念我听听
1038s 好诗文
1040s 胜过灵丹妙药
1042s 孩儿遵命
1047s 纪平
1049s 你具实说
1051s 我这病况如何
1053s 丞相
1057s 你患的头痛病
1059s 十日已久了
1061s 平时无大碍
1063s 可是一旦动怒
1065s 便会突发
1067s 还望丞相安心静养
1071s 不是已经养了三日了吗
1073s 差不多了吧
1075s 丞相
1077s 还需静养
1079s 三十日
1101s 丞相
1103s 若得知我得了徐州
1105s 定然会龙心大悦
1109s 不但徐州城
1111s 重回到我们的手里
1113s 还增添了九万多兵马
1115s 子龙正在抓紧训练
1117s 军容不俗
1119s 群情振奋
1121s 好
1123s 子龙不但有汉将之誉
1125s 更有大将之才
1127s 告诉他让他加紧操练
1129s 不出二十日
1131s 丞相必定来反
1135s 芈芳
1137s 主公
1141s 劳你去冀州觐见袁绍
1145s 将此信交给他
1147s 一者传达天子写诏旨意
1149s 请他快快发兵
1151s 秦王剿贼
1153s 二者
1155s 告诉他
1157s 无论他何日起兵
1159s 刘备都愿意听起号令
1161s 敢当麾下先锋
1163s 诺
1167s 主公现已雄据四州之地
1169s 粮草军饷大为富足
1171s 兵甲百万战将千元
1173s 即使刘备不传天子诏书
1175s 主公也应当举兵讨伐曹操
1177s 以求一统天下
1179s 在下再强调一句
1181s 主公举兵灭曹
1183s 并不是为了招不保息的天子
1185s 更不是为了扶旱
1187s 而是为了主公自己的君王大业
1191s 主公
1193s 主公刚刚战霸公孙瓒
1195s 三军尚未得到修正
1197s 人困马法
1199s 加上近年来连年征战
1201s 使得所属各州焦土一片
1203s 地无庄家民不聊生
1205s 国徒所言
1207s 粮草军饷大为富足
1209s 那是纸上画饼
1211s 是脖侧上的说服
1213s 如果要真把这些收入仓利
1215s 用于军旅
1217s 那每个三五年的时间
1219s 是万万不可的
1221s 臣建议
1223s 主公修兵养民
1225s 军力民力充沛后
1227s 再行举兵发草
1231s 禀主公
1233s 田丰所言这乃殊生之计
1235s 眼下主公兵方正胜
1237s 三军斗者昂扬
1239s 凭主公之神武
1241s 将士之昂扬
1243s 许昌指日可下
1245s 灭草易如反者
1247s 请主公即刻发兵
1249s 不可犹豫
1251s 更不可谦言时日
1253s 主公
1255s 但能成就霸业者
1257s 并不是依靠着
1259s 他们的兵甲多寡
1261s 也不是依靠着攻城拔寨
1263s 而是依靠着国力民力
1265s 依靠着土地能找多少庄稼
1267s 他们身后有多少子民
1269s 归根到底
1271s 大仗拼的就是国力民力
1273s 主公
1275s 坐拥禁
1277s 清幽并四大州
1279s 而草草
1281s 只有衍州四郡
1283s 可怀南一步
1285s 总体实力不及主公一半
1287s 主公
1289s 只需整军养民
1291s 富强自己静观天下
1293s 三年后再取草草
1295s 那可真是如泰山压顶
1297s 势不可挡啊
1299s 主公
1308s 许昌
1310s 你来得正好
1314s 国徒主张我
1316s 举兵发草
1318s 天锋
1320s 主张我休养生息
1322s 你意如何呀
1328s 回主公
1330s 刚才国徒天锋二位大人
1332s 他们的争论
1334s 在下听明白了
1336s 在下以为
1340s 无论是战事何
1342s 我们都不能仅仅
1344s 只看自家的情况
1346s 还要看一看敌人的情况
1348s 不仅要知道敌人最怕什么
1350s 也要知道敌人
1352s 敌人最想什么
1354s 正可谓兵家云
1356s 知彼知己
1358s 方能百战不带
1360s 在下以为
1365s 那草草现在
1367s 最想太平
1369s 且最怕交战
1371s 因为我家主公熊聚
1373s 寄青幽病四周
1375s 可谓地大物薄
1377s 兵强马壮
1379s 在当今天下诸侯中
1381s 独战疯癫
1383s 曹操呢
1386s 虽力不及主公
1388s 可他却处在
1390s 一个上升的时期
1392s 所谓上升时期嘛
1394s 就更需要维持
1396s 相对的稳定
1398s 以求得发展
1400s 主公
1402s 如果我们也修养生息
1404s 表面看似
1406s 对我们有利
1408s 实则是对那草草
1410s 更加有利
1412s 那草草比主公
1414s 更需要时间来发展壮大呀
1418s 主公啊
1420s 此时此刻
1422s 正是敌我双方实力
1424s 相差最大的时候
1426s 实属天赐良机
1428s 千载难逢啊
1432s 如果主公千言日久
1436s 我们就只有做官
1438s 那草草一日壮大起来
1442s 最后与主公并立于势
1446s 主公
1448s 要真到那时
1450s 这胜负
1465s 我心已定
1467s 立即发兵
1469s 免草
1471s 我们奉公主命令
1473s 听令
1476s 则徐幽国徒为军师
1478s 严良门丑为大将
1480s 其马军数万
1482s 步军数万
1484s 进军
1485s 离揚
1486s 遵命
1492s 淳林啊
1493s 在
1494s 你是我们这里
1498s 最有才华的才子了
1502s 找你
1503s 替我拟写一道
1505s 讨贼稀文
1507s 不告天下
1509s 在下遵命
1512s 好
1516s 民主图威已治变
1518s 忠臣遇难
1520s 已立权
1522s 自以有非常之人
1524s 然后有非常之事
1526s 有非常之事
1528s 然后建非常之公
1530s 司空曹操
1532s 其祖父曹腾
1534s 兮为功为奸患
1536s 韬铁放纵
1538s 伤化虐民
1540s 其父曹松
1542s 贪如柴
1543s 刁如蛇
1544s 毒如蝎
1545s 狠如狼
1546s 曹氏一门
1547s 从祖到孙
1548s 尽为坠烟遗丑
1551s 斧臭勾当
1553s 大将军袁绍奉汉威灵
1556s 折冲咒语
1557s 长几百万
1559s 建计千群
1560s 并周约太行
1564s 好文章
1566s 试入奔马七贯长虹啊
1569s 真是难得一见的好文章
1572s 你们俩也看看
1575s 这个陈林堪称天下奇才
1577s 雄士古今的大手
1580s 就这一篇细文
1581s 抵得上十万大军呢
1583s 曹芝
1589s 曹芝
1590s 你为何就写不出
1592s 这等文章来
1595s 你府上的那些人
1596s 不也是号称
1597s 宝学之士吗
1599s 我看都是酒囊饭袋
1602s 还有你
1603s 好高误远
1605s 没有真才识学
1607s 父亲责备的是
1611s 孩儿惭愧
1613s 传命各级文武
1614s 大唐一正
1616s 父亲父亲
1617s 那你的病还没好呢
1619s 陈林的这篇细文
1620s 就是灵丹妙药啊
1622s 给我惊出一身冷汗
1624s 头疯早好了
1628s 袁绍地广民风
1629s 代价百万
1633s 文臣武将
1634s 更是数不胜数
1635s 如许忧郭徒
1637s 田峰庞季等人
1639s 都是志谋超群
1641s 严良文丑张合
1645s 淳于穹也都是当世名将
1647s 丞相不可以与袁绍交战
1650s 只可以与袁绍议和
1652s 丞相
1658s 先生所言
1660s 真乃俯如之见
1662s 依我看
1663s 袁绍有时败
1665s 丞相有时胜
1668s 愿闻其详
1671s 袁绍喜欢凡夫礼仪
1674s 丞相喜欢自然天成
1676s 此为道胜
1678s 袁绍以逆动
1680s 丞相爱顺势
1682s 此为义胜
1684s 袁绍以宽济
1686s 丞相以猛咎
1688s 此为智胜
1690s 袁绍外宽内济
1692s 任人为亲
1693s 丞相外解内明
1695s 任人为才
1697s 此为杜胜
1700s 袁绍多谋少决
1702s 丞相多谋善断
1704s 此为谋胜
1707s 袁绍嗜好虚敏
1710s 丞相以诚待势
1712s 此为得胜
1715s 袁绍忽近忽远
1717s 丞相远近捷场
1719s 此为人胜
1722s 袁绍听信禅言
1724s 丞相动若观火
1726s 此为名胜
1728s 袁绍是非混淆
1730s 丞相法度严谨
1732s 此为闻胜
1734s 袁绍浩大喜功
1736s 不知兵法
1737s 丞相以少克重
1739s 用兵如神
1741s 此为武胜
1743s 袁绍有此失败
1745s 丞相有此失胜
1748s 虽然战端未开
1750s 臣以为胜负已定
1753s 战和之争
1771s 就到此为止
1774s 你等回营
1775s 速速整军
1777s 五日之后
1779s 我要亲自率二十万大军
1783s 迎战
1785s 袁绍
1786s 大喜啊
1791s 刘备已收复徐州
1794s 得兵九万
1796s 并且把陛下的诏书
1798s 传给了袁绍
1800s 袁绍发出了讨贼息文
1803s 诏告天下
1805s 拒三十万大军
1807s 征讨曹贼
1809s 太好了
1810s 袁绍和刘备的义军
1815s 何时进入徐城
1816s 这
1817s 这是早晚的事
1820s 不过
1822s 陛下不可太心急
1825s 臣有一计
1829s 与袁柳大军理应外合
1832s 一举定天下
1834s 爱卿有何妙计
1836s 我有一密友
1839s 名叫吉平
1841s 现在他这宫廷太医
1843s 正为曹操治病
1845s 此人誓守国恩
1847s 深怀保国大志
1851s 不国贼
1852s 何须援留那些兵马
1872s 只要在下一举手
1875s 便可取曹操的性命
1878s 曹操身边
1879s 假誓如云
1881s 外人根本无法接近
1884s 兄台
1885s 为何如此自信呢
1888s 我哪里是什么外人
1890s 这几日
1891s 我几乎成了
1892s 曹操的贴身侍卫
1894s 每次他犯头疯
1896s 都要换我去相府
1898s 为其治疗
1899s 让我在药罐里
1900s 便会医命无辜
1910s 即使你成功地
1911s 毒死了曹操
1920s 自己不是也会被杀吗
1922s 为国捐躯
1924s 死得其所
1935s 世世代代
1936s 饱受国恩
1940s 请陛下有难
1943s 为臣者何惜此命
1946s 陛下得姬平兄相助
1956s 朕乃天将福音
1959s 社稷大幸啊
1962s 只要曹操一死
1964s 徐长城便是全都无首
1966s 所有的文臣武将们
1968s 只能拥戴陛下
1971s 那时
1973s 陛下定将其
1975s 陛下定将姬平兄的灵位
1978s 供于宫臣阁中
1980s 与高祖帝为伴
1983s 享受万世共奉
1987s 妹子
1988s 哥来了
1991s 快快快
1993s 来吧
1997s 疼死你了
2003s 你作孽呀
2019s 给我拿下
2020s 启禀主公
2021s 不然庆彤与郑云英
2025s 在那柴房行禽兽之中
2027s 被奴才当场拿获
2029s 请主公发落
2031s 伤风败俗
2035s 玷污我家风
2037s 这等禽兽
2038s 留它何用
2040s 所加了
2041s 天明除子
2044s 带走
2045s 老爷饶命啊
2046s 走走走
2047s 老爷饶命啊
2050s 老爷饶命啊
2051s 将的头皮发作了
2052s 成性的头皮犯了
2084s 快 快去请太医姬平
2086s 快
2087s 你 你去请姬平
2088s 快 快去
2089s 快
2090s 快 去
2091s 快跑
2092s 跑 快去
2098s 姬平
2100s 药熬好了吗
2103s 就好 就好
2133s 丞相
2134s 汤药好了
2136s 你请用药
2137s 太烫了
2150s 搁那儿凉会儿
2165s 姬平你
2166s 做太医多久了
2169s 臣是出平二年
2171s 进宫从医的
2172s 算起来
2173s 有十三个年头了
2176s 出平二年
2180s 那年我也干了一件
2182s 惊天动地的事
2185s 你知道什么事吗
2191s 那年的三月八日
2194s 那天
2196s 董卓也像我一样
2198s 躺在榻上
2200s 我呢
2202s 怀揣七星刀
2204s 慢慢地向它逼近
2207s 想要为国出凶
2210s 青史留名
2212s 没想到董卓
2214s 从镜子里发现了
2217s 害得我险些丧命
2220s 我更没有想到的是
2225s 今日
2227s 我也被人看成董卓了
2230s 汤药凉了
2238s 药率会大减
2240s 请丞相用药
2242s 上古有礼
2247s 君患疾饮药
2252s 臣先尝之
2254s 父患疾饮药
2257s 子先尝之
2260s 你待我如君如父
2264s 就请你先尝尝此药吧
2267s 这
2268s 丞相
2271s 拿下
2274s 说
2284s 谁令你下毒的
2286s 谁是你的同党
2288s 是我要杀贼
2290s 何需别人指使
2292s 你个小小的太医
2294s 谁敢下毒害我
2296s 说出你的同党我不杀你
2298s 草贼
2300s 天下人人得以助之
2303s 岂止极平
2305s 拖下去
2306s 严刑拷问
2308s 务必问出主使人是谁
2310s 诺
2311s 国贼
2312s 国贼
2313s 人人得以助之
2315s 谁呀
2318s 丞相有请
2327s 扯地将军
2328s 董成赴宴
2329s 请回禀丞相
2331s 我家主公臥病在床
2334s 丞相事先就吩咐了
2336s 说
2337s 如果董成生病
2339s 也一定请他报病前来
2342s 这
2343s 快去
2344s 去啊
2345s 请将军稍候
2348s 我去禀报主公
2349s 两个月前
2355s 我还在此青梅竹酒
2358s 以刘备笑论天下英雄
2361s 如今情形不再
2364s 秋风落叶
2368s 树木凋零啊
2370s 连那刘备
2373s 也反了
2374s 不过我看无妨
2378s 秋风落叶
2380s 也可一赏
2384s 枯木寒窗
2389s 也可助兴
2391s 你们说是不是啊
2393s 丞相所言甚是
2398s 既如此
2399s 蛮饮此杯
2401s 下官报病
2404s 不能再饮
2406s 请丞相见谅
2408s 病了
2410s 正好我这有一副
2414s 灵丹妙药
2416s 来人哪
2417s 在
2418s 带上来
2419s 诺
