20s 洪城将军吴庆率部军三万五千前来听命
1811s 还有蜀军吗
1814s 十里开外
1815s 是王平的营寨
1817s 兵不过五千
1818s 本都谢你了
1822s 司马昭
1827s 传命
1829s 张河领军一万
1831s 攻打王平营寨
1833s 我自统大军围山
1835s 告诉诸位将军
1838s 只需维尔不攻
1840s 只要断骑水稻
1841s 击鼓呐喊
1842s 扰敌军心即可
1846s 遵命
1847s 三五日后
1848s 马肃军乱
1849s 清历攻山
1857s 参军
1858s 我们已经被魏军团团围困
1860s 看上去魏军
1860s 大约有十万兵马
1864s 区区十万的敌军
1865s 就把你吓成这个样子了
1867s 当年我随丞相赤壁大战
1870s 曹操八十三万大军
1871s 还不是不堪一击
1874s 且让他们在山下
1875s 鼓噪吧
1876s 待证谋过后
1878s 敌军露出脾态
1879s 我军再一鼓作气冲下山去
1882s 鼓泰山击厉
1883s 定叫敌军
1885s 骗假无为
1886s 敌军主帅是谁
1891s 从喊声听来
1892s 是大都督司马仪
1894s 已不会轻声道辞
1903s 定是敌军假借其名
1905s 虚张声势罢了
1907s 坚守不战
1908s 诺
1918s 姜维尔
1919s 魏炎到杨平关没有啊
1921s 快马来信说是到了
1924s 这街亭那边
1925s 为何迟迟没有马肃的消息啊
1928s 街亭本无营寨
1930s 王平和马肃到了以后
1931s 需要现扎营寨
1933s 这需要时间
1934s 可是末将认为
1935s 他们扎完营寨以后
1937s 一定会派人向丞相禀报的
1941s 报
1943s 禀丞相
1944s 王平将军派人送进来了
1945s 信呢
1947s 这是王平将军绘制的地图
1948s 请丞相过目
1949s 搜哪来我看
1950s 诺
1966s 陷我大军入绝境啊
1969s 丞相怎么了
1971s 马肃竟然把大寨
1972s 安在孤山之上
1974s 向居高陵下击破来犯之敌
1976s 你看
1977s 这是王平所绘之图
1979s 此山离河流甚远
1981s 魏军如果来袭
1983s 只需为而不攻
1984s 断我水源
1985s 两日之内我军必乱哪
1987s 丞相
1988s 末将愿出手街亭
1989s 替回马肃
1991s 来不及了
1992s 此处离街亭至少有三百多里路
1997s 姜维
1998s 立刻传我三道军令
2000s 第一
2000s 令官兴张包各引军三千
2003s 沿武功小路而行
2004s 如与敌军不可立战
2006s 只需击鼓呐喊
2007s 待敌军撤退之后
2009s 直往杨平关接营魏延
2011s 第二
2012s 让张义率军修理剑阁道
2015s 准备三军撤回汉中
2017s 第三
2018s 让子龙将军速速回营
2020s 他现在的处境危险至极
2023s 诺
2023s 慢
2027s 令官兴张包各引三千人
2029s 沿武功小路直上
2031s 如与敌军不可立战
2033s 等敌军退后
2034s 前往杨平关接营魏延将军
2037s 令张义修理剑阁道
2039s 等待三军撤回汉中
2042s 令子龙将军速速回营
2045s 去吧
2048s 丞相
2050s 事情真的有这么严重吗
2052s 如果我们的大军一旦撤退
2054s 那北伐可就功亏一篑了
2057s 只怕会更严重
2060s 我各出兵马
2062s 如果能安然撤退
2064s 就已经不错了
2066s 速去传令吧
2069s 诺
2084s 我识人不明
2086s 主成大错呀
2095s 都怎么了
2096s 起来
2097s 起来
2098s 快起来
2100s 给我起来
2101s 起来
2102s 起来 快起来
2103s 快起来
2105s 快起来
2106s 起来
2107s 起来
2109s 这是怎么回事
2111s 将军
2112s 山上没有水源
2113s 各营都断水了
2116s 怎么可能
2117s 山有多高水就有多高
2119s 那是在南方
2121s 北方本来少雨
2122s 此山有乱石居多
2124s 哪有水源呀
2128s 立即组织人马
2130s 冲下山取水
2131s 试过了
2132s 驾驶们冲到山腰
2134s 便被乱箭射回
2135s 再冲
2189s 说吧
2192s 事情果然不出丞相所料
2195s 司马已亲自带了十五万人
2196s 到达了街亭
2198s 兵分三路
2199s 张河围攻街亭
2201s 徐皇蒙攻杨平关
2202s 司马照围着赵云打
2205s 目前双方正在激战
2206s 胜负不明
2209s 胜负已明了
2214s 你派人传命
2217s 令南安 天水
2219s 安定三军的军民官吏
2221s 兴野迁往汉中
2224s 再点五千精兵
2225s 黎民随我出发
2227s 丞相
2228s 大营里的士兵
2229s 都已经奉命派出去了
2231s 所剩的
2233s 不到五千人
2234s 还剩多少啊
2236s 除了三百甲师以外
2239s 老弱病残加在一起
2242s 两千总有八
2243s 全部召集起来
2250s 随我去往西城
2252s 什么
2254s 西城
2256s 丞相
2257s 西城是个小县
2259s 你干吗要去那儿啊
2261s 街亭失械后
2263s 我军粮稻已断
2265s 南归之前
2267s 汉中的粮草又接济不上
2269s 只剩西城十万但军粮
2271s 无论如何要抢运出来
2273s 可是丞相
2274s 西城矮小残破
2276s 如果卫军追过来的话
2277s 断难把守
2278s 你身系属汉安卫
2280s 怎么能身陷险境呢
2282s 不如你先撤回到汉中去
2284s 由末将
2285s 去西城
2288s 陛下把举国大军
2289s 交付于我
2291s 如今大军未还
2293s 我作为统帅
2294s 怎能抽身先退呢
2297s 不成
2297s 丞相
2298s 按我军令行事
2307s 诺
2324s 你把城中百姓都征集起来
2326s 如果在天黑之前
2327s 不能把粮食运出城
2329s 北伐大军就回不得顺处
2331s 闪开
2332s 诺
2332s 都给我闪开
2334s 云奕
2337s 丞相不好了
2338s 卫军来袭
2339s 已到城东二十里处了
2341s 有多少兵马
2342s 同兵将军是谁
2344s 烟尘连绵一眼望不到尽头啊
2346s 至少有几万兵马
2348s 齐千军在大道上
2349s 应有四马二字
2371s 城中现在还有多少兵马
2374s 我们带来了两千兵
2375s 可是其中大部分
2376s 都出城运粮了
2378s 此刻兵部足迁
2380s 丞相
2381s 我们赶紧撤退吧
2382s 你毕帅铁记
2387s 我们如何能快得过他呀
2390s 丞相
2392s 西城城环高不过三尺
2394s 我们兵部足迁
2395s 如何守得住啊
2404s 传命
2406s 把所有旌旗都逆藏起来
2408s 隔出城门大开
2410s 每门用三五士兵
2411s 扮成百姓打扫街道
2413s 不得随便出入
2414s 更不得大声喧哗
2416s 为令折斩
2418s 丞相
2419s 我的古琴啊
2421s 在车上
2423s 立刻驱来
2425s 诺
