3s 东韩末节,黄金旗在爆发后的第八个月极高平行。
310s 一个卑贱之徒怎能与列位尊者为伍呢?
314s 曹孟德能把话说到这个境界上,已经很了不起了。
319s 不过,还有些原因。
322s 袁大人真的要让我都说出来吗?
325s 是你要与老夫同行的。
327s 同行若不同道,这与行尸走肉又有何意呢?
335s 袁大人,我只是想问问你。
339s 是你要与老夫同行的。
341s 同行若不同道,这与行尸走肉又有何意呢?
346s 好,那我就说了。
352s 受邀者个个都是先皇旧臣。
357s 也个个都是以王允为首的弟长心父。
362s 而我曹操在你们看起来,却平行轻贱。
367s 干为鹰犬,躯身是贼。
371s 族下怎么不说了?你接着往下说呀。
375s 你怎么个轻贱法?怎么个躯身法?
378s 你做的是哪家的鹰犬?你试的又是哪家的贼?
383s 国贼董卓吗?
386s 你想什么?
387s 怎么了袁大人?
389s 这国贼二字,不是早就被你们这帮公卿大臣分子碎了牙?
396s 凑碎了心了吗?
398s 怎么在这光天化日之下,
401s 京师皇宫之中却不敢大声地说出来呢?
406s 你们不是把金鸾殿都视为圣地?
410s 那么多道貌岸然的公卿大臣,
414s 都敬若寒蝉,胆战心惊。
418s 这才让我真正地看到了什么是尊,什么是卑,
423s 看到了尊卑的别样意境。
427s 一个小小的本体,却是自命清高者,进城数倍。
433s 你!你!你!
437s 请,请。
464s 万宫六十华贷,在下,恭喜财寿。
469s 多谢,多谢,请请请。
472s 请请请。
476s 该来的都来了吗?
484s 回老爷的话,所请的顶客一个不少,都来了。
489s 好,关闭大门,熄掉灯笼,停止奏运。
495s 不要惊动了寻夜的鹰泉。
499s 遵命。
509s 列位,请。
516s 好酒,好酒。
519s 来来来。
521s 请请请。
551s 老爷,有一人自称是萧继校尉曹操,不请自到,非要给你拜寿。
562s 曹操?
564s 曹阿满,真是太无礼了,几乎厚颜无耻啊。
570s 董卓一进京,曹操就拜入董贼门下,
573s 卑躬屈膝,妖宠线媚,简直是丢尽了世子人臣的脸面啊。
580s 是啊,开头他还是隔日一朝拜,可是现在的竟然是晨暗暮醒,紧紧跟随。
587s 他实为相夫之鹰犬。
590s 这个人啊,我看简直就像是董卓的干儿子。
594s 禀司徒大人,曹操此行,必是来替董卓当耳目,打探消息的。
599s 是,是,是。
601s 大人,让他赶出去,让他赶出去。
604s 未必。
608s 据老夫看来,曹操这个人不像是董卓的鹰犬之辈。
617s 起码他不甘于沦为慈悲。
621s 曹操这个人啊,一向有大志,表面屈奉,暗中掏回。
631s 在心腹之间 恐怕别有所图啊
639s 是啊 大人说得有道理
641s 是啊
641s 话又说回来了
643s 人家口口声声是说来给我拜寿的
648s 我岂能将贺客逐出门外呢
653s 管家
653s 在
655s 在门旁增设一墨席
659s 制小鸡一张 小斩一具
664s 赐曹操入席吧
666s 是
668s 曹大人
673s 司徒大人请曹大人赴宴
676s 带路
677s 请
678s 曹大人请
680s 暖身曹操
690s 恭祝司徒王宫六十大寿
693s 多谢
698s 请入席吧
700s 曹操谢座
720s 列位
722s 请
723s 请
723s 请
724s 请
725s 列位
736s 今天
737s 并不是老夫的生日
740s 相反
744s 是老夫的忌日
747s 老夫借生日之名
754s 把大家聚于寒舍
757s 是想告诉列位
759s 我四百年的大汉王朝
766s 已经到了最后的地步
769s 最后的关头啊
772s 江山沦丧
774s 日月无光
777s 宗庙涂灰
780s 俱坚篡国
784s 天子收儒
787s 君臣蒙羞
791s 内有董贼
793s 横行于朝
795s 外有群雄称霸于野
799s 故乎哀哉
802s 笔崩月坏
805s 肝肠
807s 寸断了
810s 还有呢
811s 董贼每夜都闯入皇宫
813s 夜宿龙踏
815s 任意奸淫
816s 嫔妃宫女
817s 星通禽兽啊
830s 曹操
832s 为何失效
835s 满辈是在笑
838s 满做大丈夫
840s 尽做女儿态
843s 你们就是从天黑哭到天明
846s 难道能把董贼哭死不成
848s 你有何能
850s 出言竟如此轻薄
852s 曹某不才
854s 谈之之间
855s 便可将董贼的手机
856s 取下玄于长乐宫门
859s 太狂妄了
861s 狂妄之子
863s 太狂妄了
864s 来人
864s 在
866s 将大胆狂屠曹阿蛮
869s 赶下大唐
870s 逐出府外
871s 下去
872s 起来
874s 走 走
875s 且慢 且慢
876s 司徒大人 请听我一言
879s 说
884s 你这个人
885s 虽然愚腐
887s 但你府上的酒很不错
891s 你这么愚腐的人
892s 怎么配得上这么好的酒呢
895s 可惜
896s 可惜了
897s 拿下去
898s 你下来把他拉走
899s 可惜
900s 可惜好酒了
903s 你走嘛你
914s 赶紧滚
915s 快滚 滚吧
918s 疏背
920s 疏背
921s 疏背
935s 曹将军
936s 曹将军
937s 请留步
949s 曹将军
952s 眼皮一眨
953s 老母鸡便压
955s 怎么曹阿蛮
956s 又变成曹将军了
959s 事态严良
960s 转瞬间呀
962s 你这奴才有何话说
964s 曹将军
966s 我家主公
967s 令奴才再三向曹将军谢罪
971s 我家主公说
972s 宴席之上人多口杂
975s 取董卓投炉之事
976s 万万不可言及
978s 所以才杨作大怒
980s 将曹将军赶了出来
982s 这也是为了保护曹将军啊
985s 请将军到书房稍候
987s 待宾客散去
989s 我家主公
990s 自会亲来向你谢罪
993s 这倒是颇向亡孕的为人
997s 好吧
998s 那我就先到书房稍候
1000s 不过酒席上的酒
1002s 你得给我拿两壶
1003s 不能让我枯坐
1006s 管狗 管狗
1016s 梦德兄
1021s 梦德兄酒厚了
1023s 老夫深感不安
1025s 谨此再拜
1026s 深知歉意
1030s 司徒大人太不客气了
1033s 敢问恭请大臣们都走了吗
1036s 刚刚离去
1038s 实才席上人多
1040s 老夫不便细叙
1042s 请问梦德兄
1046s 真有诸贼妙计吗
1047s 当然
1050s 请
1060s 我草草
1062s 既非卖主求荣之徒
1065s 更非虚言欺世之辈
1068s 实才席间列为恭请
1072s 实在是误解我了
1075s 我屈身是贼
1077s 实则是为了杀贼
1080s 如何杀贼
1081s 大人
1083s 我已经完完全全地
1086s 得到了郭贼董卓的信任
1089s 尽管相府假示凌厉
1091s 防范慎严
1093s 我却可以无需禀报
1096s 直达相府的内怨
1099s 只是这董卓
1101s 内衣里总是穿着一件
1104s 贴身的铠甲
1106s 寻常的刀剑都不能伤他
1109s 不知道大人是否还记得
1111s 去年春上
1113s 五府首持立任
1114s 刺杀董卓的事
1116s 就是因为没有能够穿透铠甲
1119s 这才功亏一篑
1121s 惨遭灭祖
1127s 梦德兄的意思是
1131s 我是听说司徒大人的府上
1133s 有一口祖传的七星宝刀
1136s 能削金断玉 锐不可当
1139s 对吗
1141s 如果大人能把这口宝刀借给我
1144s 我愿意怀揣宝刀进入相府
1148s 七进 寻机图之
1152s 如图铸狗
1154s 董卓一死
1156s 西梁军群龙无首
1158s 必定溃散
1159s 那时大势谈之可定
1165s 相府行刺
1170s 如此一来
1172s 梦德兄自己
1173s 不也是有去无回了吗
1178s 制食魏国除害
1180s 岂能够洗一己性命
1184s 如果能把董卓的头颅
1186s 挂在城门之上
1188s 我曹操便可轻视留名
1192s 如果不能
1194s 那么挂在城门上的
1196s 就可能是我曹某的头
1198s 但是即便如此
1200s 我也在所不辞
1205s 曹将军
1207s 如果你真能手刃巨贼
1212s 那必让功盖天地万事不朽
1217s 四百年大旱皇朝之命运
1221s 此时此刻
1223s 就托付于梦德兄之手了
1231s 那我就取刀了
1235s 且慢
1238s 梦德兄
1239s 你以为他就是七星宝刀吗
1243s 莫非他不是
1245s 请稍候
1260s 当时第一的宝刀
1262s 竟然如此制不
1265s 世间奇珍异宝
1268s 往往不在其表
1271s 三日之内
1274s 名垂青史
1276s 血渐长红
1279s 四百年大旱王朝
1282s 尽托于曹将军之手了
1328s 萧綦校尉拜见相国
1331s 大人请
1332s 你们就不打算搜索
1335s 看我身上带没带兵刃
1337s 那是对外人的
1339s 您就不必拘礼了
1340s 大人请
1374s 相国恕罪
1376s 曹操来迟了
1378s 好
1379s 梦德来了
1381s 好好好
1382s 来来来
1387s 梦德
1388s 我来给你引荐一下
1391s 这是我的义子
1393s 吕布
1394s 自奉先
1396s 他是刚刚从西梁
1399s 引军回京
1401s 吕布将军的威名
1403s 在下早就如雷贯耳了
1405s 世人云
1407s 人中吕布
1408s 马中吃土
1409s 再加上将军手里那杆
1411s 方天画脊
1412s 真可看
1413s 人间罕见
1415s 天下无敌
1418s 奉先
1419s 听到了吗
1420s 这个曹梦德这张嘴
1423s 那才叫天下无敌呢
1427s 梦德言过了
1428s 吕布不敢当
1431s 梦德
1432s 你怎么才来
1433s 我都等你半天了
1436s 臣的做计
1437s 雷若不堪
1438s 因此迟到
1440s 臣告罪
1441s 你官拜萧继校尉
1445s 怎么连匹骏马都没有
1448s 相国有所不知
1450s 开春以来
1452s 天下大旱
1454s 眼下京师是人断梁骨
1457s 马无草料
1458s 臣的做计
1460s 快被生生地扼杀了
1461s 那可不成
1463s 那不成
1464s 扼杀了谁也不能扼杀了
1466s 你曹梦德的做计
1470s 我有刚刚寄上来的
1471s 西粮汉学马
1474s 奉献
1475s 你亲自去挑选一匹豪马
1478s 赠予梦德
1481s 遵命
1483s 有劳将军了
1487s 谢相国
1490s 梦德
1491s 来
1494s 咱们两个说个话
1503s 梦德
1504s 咱家问你
1505s 你和那个袁绍袁本初
1509s 熟吗
1510s 臣和袁本初自小相识
1513s 但臣和他尊卑不同
1517s 袁绍这个王八蛋
1520s 咱家进城那会儿
1520s 就该把他宰了
1522s 那个时候估计他名气大
1525s 当时我一丝心软
1527s 就让这小子跑出了京师
1531s 没想到啊
1532s 他今天竟然纠结了
1534s 十八路诸侯
1536s 起兵反我
1538s 相国修经
1541s 袁绍徒有西名
1543s 绝无大才
1544s 十八镇诸侯
1545s 也绝不是西粮军的对手
1548s 相国只要遣吕布将军
1550s 率三万铁骑
1552s 定可大获全胜
1554s 那是
1555s 那是
1557s 我除了李奉先之外
1558s 我还有李雀郭四二将
1561s 他们两个也是
1562s 个个都有万夫不挡之用
1565s 杀他十八路诸侯
1566s 如同屠诛宰狗一般
1571s 臣以为
1573s 最重要的是
1574s 有相国你
1576s 相国带兵如韩信
1580s 治国如萧河
1582s 我大汉开国四百年
1584s 何曾有过相国这样的
1587s 惊天伪地之才
1595s 曹孟德呀曹孟德
1599s 听你说话呀
1601s 就是让人高兴
1604s 孟德呀
1606s 咱家想再问你个事
1610s 相国时下
1613s 咱家知道
1615s 那些宫廷大臣们
1616s 表面净我心里头是
1618s 很透了我
1620s 恨不得把我的脑袋
1622s 掉到城门之上
1625s 你和这些宫廷大臣们
1626s 关系不错
1628s 咱家问你
1629s 袁绍起兵的消息
1631s 传来以后
1632s 这些个人
1634s 有些什么异常举动
1638s 太大的动静倒是没有
1642s 前天晚上是王四徒
1643s 六师大寿
1645s 宫廷大臣们都去赴宴了
1647s 臣也不请自去
1649s 想带相国去
1650s 探一下他们的风声
1652s 可是没料到
1654s 被他们给插出来了
1659s 这些个家伙
1660s 真是不是东西
1665s 一个一个地坐实
1666s 朝廷俸禄养得肥肥胖胖
1668s 除了在心里头
1669s 骂咱家之外
1670s 没有什么别的本事
1673s 咱家恨不得
1674s 砍了他们的脑袋
1675s 用他们的肉煮汤喝
1677s 不成啊 相国
1679s 大凡正人君子
1681s 其肉都太酸
1686s 是酸 是酸
1689s 这咱家一想起来
1692s 这牙就觉得酸倒了
1703s 洛阳这个鬼地方
1704s 比起西凉来那是热多了
1707s 你看 你看
1708s 夏庭还没到吗
1710s 这就把人热死了
1713s 孟德
1715s 我到里边去窝一会
1720s 刘神相国
1721s 相国
1724s 禀相国
1793s 在下近日
1820s 得到一件无价的物品
1823s 得到一件无价之宝
1825s 七星刀
1827s 臣想如此绝品
1830s 臣怎配使用
1833s 臣知道相国酷爱兵器
1836s 诺
1837s 臣想把它敬献给相国
1843s 拿来我瞧瞧
1848s 这是一把普通的刀吗
1850s 平凡之至
1852s 怎么能说是绝品呢
1855s 相国可否借刀一用
1893s 我的天哪
1894s 世上竟有如此厉害的刀啊
1898s 绝了
1900s 这真叫一个绝呀
1903s 如此宝物何人配用
1906s 唯有像相国这样的
1907s 圣主明君才可配此宝物啊
1911s 孟德啊
1912s 你对咱家真是一片忠诚
1916s 咱家在这儿谢你了
1922s 相国厚恩
1924s 臣只恨无以为报
1957s 孟德
1969s 吕将军
1970s 何为
1971s 孟德
1973s 莫非你忘了
1974s 相国让我送你一匹坐骑
1978s 你看看此马如何
1979s 它可是我亲自为你挑选的
1981s 一匹西粮汉鞋马
1983s 可日行八百里
1986s 此马如此雄俊
1987s 让我极其不可惜了
1991s 孟德兄言过了
1992s 宝马配英雄嘛
1994s 在下可否一试
1997s 请
2006s 孟德兄啊
2013s 此马性烈
2016s 若想让它俯首听命
2018s 非得要有一身英雄气不可
2020s 你何不报贺一声试试
2022s 义父
2047s 奉献
2048s 看见曹操了吗
2051s 刚才在府门外相遇了
2053s 末将奉命把一匹骏马
2054s 交给了他
2056s 他急忙上马试骑
2058s 狂奔不止呢
2061s 奉献啊
2063s 曹操刚才送给咱家
2065s 一剑宝刀啊
2067s 看
2068s 此物真乃是天下绝品哪
2072s 血铁如泥
2073s 方才就这么一刀下去
2076s 你看到没有
2076s 这铜镜就被剖为两半了
2078s 这刀啊
2079s 真是绝品
2081s 绝品
2082s 义父
2083s 末将可否瞧瞧此刀
2086s 曹操说
2098s 它叫七星刀
2101s 七星刀
2106s 义父
2107s 末将听说
2109s 司徒王允府里也有一把
2111s 世代相传的七星刀
2113s 会不会就是这把刀呢
2116s 王允
2117s 曹操刚才说过呀
2122s 王允寿诞时
2124s 曹操前去拜寿
2126s 被王允从府上给赶出来了
2128s 既然如此
2129s 不好
2130s 曹操是来行刺咱家的
2132s 你别多疑了
2133s 多疑
2141s 这年头就是多疑
2143s 才救了咱家的性命
2148s 只要刺客一靠近
2149s 咱家就能闻出味儿
2151s 我想起来
2153s 方才曹操举止慌乱
2156s 献刀的时候
2157s 手都有一些发抖
2159s 还有
2160s 他既然是诚心献刀给我
2163s 为什么不带钢镜
2164s 来送我们家的
2165s 王允寿
2167s 这刀给我
2167s 为什么不在刚见面的时候
2169s 把刀献给咱家呢
2171s 非等咱家在这儿
2172s 打瞌睡的时候
2174s 他才拔刀呈献呢
2175s 要不是这铜镜中闪出刀光
2179s 被咱家大喝了一声
2180s 说不定的刀
2181s 就插进咱家的后背心了
2184s 曹操是被咱家喝破了形状
2186s 才假意献刀
2190s 来人
2194s 相国
2196s 立刻传曹操来见我
2198s 诺
2201s 驾
2207s 快快下满眼棺
2208s 我是萧綦校尉曹操
2210s 相国差外有紧急差事
2212s 快让开
2213s 出示通牌
2214s 让末将瞧瞧
2215s 时间紧迫
2216s 如果误了相国的差事
2218s 你不怕掉脑袋吗
2219s 快让开
2231s 禀相国
2232s 刚才有使者奉相国急命
2234s 闯出东门
2235s 末将想请示相国
2236s 可曾派出使者
2238s 那司是谁
2239s 那人自称是萧綦校尉曹操
2241s 他是刺客
2242s 是贼子
2243s 曹操是来行刺咱家的
2247s 立刻传命
2247s 出派五千甲士
2249s 出城搜捕曹操
2251s 遵命
2262s 义父
2264s 末将请命
2265s 亲自率领铁骑
2267s 追捕曹操
2269s 奉献啊
2271s 你挺喜欢这把骑行刀是吗
2276s 末将怎敢
2277s 我是问你喜不喜欢
2279s 不是问你敢不敢
2281s 直说
2281s 喜欢不喜欢
2285s 末将
2286s 喜欢他就是你的了
2288s 不过
2289s 咱家有一个要求
2291s 你要亲自用这把骑行刀
2293s 割下曹操的手机
2298s 遵命
