5s 刚刚得到消息,主公要收留刘备,并且要把新野交给他驻军。
286s 我听说,刘备来到咱们荆州了。
293s 是,主公已准许他们驻扎心眼。
297s 刘备手下,是不是有几名汉将,厉害得紧?
302s 有三员汉将,他们的名字叫关羽,张飞,
307s 赵云。
309s 主公已经六十四岁了,身体不好。
315s 我担心,万一主公有个三长两短,
321s 咱们荆州的这份家业,可不要落到别人手里去了。
327s 请姐姐放心,我早有防备。
331s 刘备他们翻不了天。
333s 除此之外,
334s 我还有一个心愿,你应该知道。
337s 知道。
342s 姐姐一直希望主公能把二公子刘从立为世子。
347s 不过这心愿嘛,还须从容行事才好。
352s 还是在意着点吧。
355s 千万别让刘备参与了咱们荆州的内政。
360s 更不能让刘备参与荆州的内政。
363s 知道了。
364s 建安十一年,曹操再次击败袁绍残部,
370s 相继宫去寄清并幽等州。
374s 袁绍与悲愤中吐血暴亡。
379s 至此,曹操取代袁绍成为大汉天地间最强盛的军夫。
386s 曹二蛮。
388s 曹二蛮。
391s 如等可进得了这荆州城湖。
399s 要是没有你许忧,我们当然进不了荆州城了。
418s 二蛮。
420s 二蛮。
422s 二蛮。
424s 二蛮。
426s 二蛮。
428s 二蛮。
429s 二蛮。
434s 如。
436s 可不能忘了我的大功啊。
440s 当然。
441s 先生的无嘲之功,我等岂敢忘记。
446s 诸位,不要看这曹二蛮今天是如何的得意。
468s 威风凛凛,当初那是跟我一块混日子的。
473s 我俩小的时候,在一起偷鸡摸鸡,独酒变酒。
485s 那段时光是何等的潇洒,何等的快活啊。
491s 二蛮啊,我说的事也不知啊。
496s 二蛮。
498s 二蛮到哪儿去了?
503s 快,如等快把曹二蛮给我找来。
506s 先生千万不可乱言,当心传到丞相罗里。
510s 什么丞相不丞相。
513s 阿蛮就是阿蛮,小混混的。
517s 跟我和你都一样。
519s 一个鼻子,两个眼睛。
522s 也难怪,儿等既非阿蛮故郊,又非读书之人。
527s 安置这天下的宜温去世啊。
531s 对了,对了,阿蛮啊。
536s 还有一个,你我不及之常,谈色。
541s 谈色啊,而且与众不同。
545s 了得,你我众所不及,独有其道啊。
549s 匹夫。
551s 卢氏何人,豪声大胆,胆敢惊了我的作计。
557s 你可知道我是谁?
561s 我乃丞相故郊,徐子远事业。
566s 你这么一个狗东西,你怎么也配姓徐?
571s 配姓徐?
573s 徐子远,徐子远。
578s 你怎么也配姓徐?
584s 配姓徐?
587s 去问问你家丞相曹阿蛮,
590s 若是没有我这个姓徐的,
593s 儿等这帮匹夫粗汉,俺能进得了这济州城。
600s 你给我听好了,你在胡言乱语。
604s 我砍了你。
607s 也罢。
609s 儿等这些粗汉痴,
614s 奄能之小,姓氏之来有,名字之来厉乎。
622s 不要说你,匹夫。
624s 把你家丞相叫来,不敬我一尺。
628s 也得让我三分。
633s 你不是就想要许有这颗头吗?
635s 今天姓徐的就把脖子给你伸到那儿。
638s 匹夫,有本事,你就砍了去。
641s 到你家丞相阿蛮那儿去秦宫。
643s 砍!
644s 有种的砍嘛!
646s 砍呀!
648s 谅你也没这个胆。
652s 好一座雄伟壮丽的济州府,
658s 竟然比洛阳海稍胜一筹。
698s 袁绍拥有这等城市,
700s 实在是太可惜了。
703s 孩儿听说袁绍在建济州时,
706s 有意要把他建成天下首府啊。
709s 我现在算是明白,
710s 为什么那些文人默客都喜欢投奔袁绍了。
714s 因为他房子大!
718s 济州这个地方先后出过四大之势,
721s 包括陈林等等。
723s 陈林?
725s 陈林?
726s 就是那个写讨贼细闻的陈林?
728s 正是。
729s 立刻拿他!
730s 遵命!
731s 丞相,陈林押来了。
734s 你就是陈林?
736s 是。
754s 你把我骂得惊天动地,
763s 珊瑚海啸,
770s 狗血淋头,
771s 叫我听得好享受啊。
775s 今日,
776s 我和袁绍拥有一个新闻,
781s 你怎么不骂了?
783s 我告诉你,
785s 人呐,
787s 骂,
788s 是骂不到的。
795s 欲满天下者,
797s 往往也是,
799s 毁满天下。
800s 丞相说得好。
802s 你抬起头来,
804s 看着我,
805s 你看我这份气色,
807s 这份精神头,
810s 那都是叫人给骂出来的。
819s 我告诉你,
820s 那天晚上,
821s 我头痛发作,
823s 痛不可当。
825s 但是我读了你的讨贼稀文,
827s 我的头痛立刻就好了,
829s 不要而愈。
831s 但是我又一世不明。
834s 你骂我也就罢了,
835s 为什么要把曹操的祖宗三代都烧上了?
840s 他们与你何干?
842s 禀丞相,
844s 那时候,
845s 我和袁绍拥有一个新闻,
850s 丞相,
852s 那时候罪臣身为袁绍牧兵,
854s 受命撰写讨贼稀文,
856s 所以,
857s 不得不以笔为刀,
859s 痛下狠手。
862s 罪臣,
864s 请丞相赐罪。
865s 以笔为刀,
867s 岂止是以笔作刀啊。
870s 你的一支笔,
871s 抵得上十万大军,
872s 你知道吗?
875s 陈林,
876s 起来吧。
877s 谢丞相。
878s 当初我读你的大作的时候,
884s 就对你是又恨又气,
886s 又喜又爱。
889s 今天我坐在袁绍的王座上,
893s 自然对你是更要刮目相看了。
896s 你的才气,
901s 是既逼人,
903s 又喜人。
905s 今后,
906s 执政,
908s 御民,
909s 清史,
910s 丹书,
911s 都少不了你这样的人才。
913s 当然,
915s 如果你要是不愿意做我的慕宾,
918s 我就赏你一座宅子,
920s 二十匹绸缎,
922s 你尽可以关起门来,
924s 阴风弄月,
925s 但是有个条件,
927s 写出了好诗文,
929s 第一个要送到我这儿,
931s 让我欣赏,
932s 我要先赌为快。
934s 你看可否?
935s 丞相恩威浩荡,
939s 古今难觅,
941s 罪臣愿意归乡丞相。
944s 丞相!
946s 这就对了!
948s 这就对了!
950s 起来!
951s 起来!
954s 丞相!
964s 你看看,
965s 你我之间,
966s 还骂出一份交情。
970s 今日我,
971s 甚是快活。
976s 你先去吧,
977s 我们回头聊。
979s 罪臣告退。
980s 这是什么?
993s 这是从袁绍内府中,
995s 搜出来的书信。
998s 都是谁写给袁绍的?
1001s 在下,
1002s 不好说。
1003s 你看看。
1028s 父亲,
1029s 这些大都是,
1030s 直说无妨。
1034s 这些都是我方的文武官吏,
1049s 写给袁绍的信。
1051s 他们早在建安初年,
1053s 就暗通袁绍了。
1054s 不看了。
1067s 看了生气。
1069s 父亲,
1074s 他们拿着我们的俸禄,
1076s 饱受着父亲的恩宠,
1078s 暗地里却备逐同贼。
1080s 现在罪证确凿了。
1082s 我们只要依着性命抓捕,
1084s 他们一个都跑不了。
1086s 他们自然是逃不掉的,
1092s 但是抓住又能怎么样呢?
1095s 斩。
1096s 斩?
1097s 那是不是,
1103s 应该把我也斩了呀?
1105s 因为我也跟袁绍通过书信,
1108s 而且我还拍过他的马屁。
1111s 我说他是,
1112s 南天一柱,
1116s 万世楷模。
1120s 我况且如此,
1121s 更何况他们,
1123s 可以理解。
1125s 他们是怕我战败了,
1127s 想给自己留条后路。
1129s 丞相明鉴,
1130s 当年袁绍势力滔天,
1136s 但仍非丞相对手。
1138s 如今袁绍命归九泉,
1141s 这区区书信,
1143s 更谈合法。
1145s 丞相不如烧死书简,
1147s 已是对老友相送。
1150s 你看看,
1154s 寻衣是何等胸怀?
1158s 在下不敢当,
1161s 丞相胸怀远大,
1164s 在下只是说了句丞相想说的话。
1168s 皮儿,
1169s 你把这些书信拿到正阳门外,
1174s 当着文武百官的面,
1177s 一把火焚尽,
1178s 并且告诉他们,
1180s 既往之势,
1182s 永不察觉。
1184s 遵命。
1188s 徐叔,
1226s 你又闯祸了。
1228s 徐悠在大庭广众之下,
1231s 侮辱主公,
1232s 我离他住口,
1233s 这小子竟然把头伸回来,
1235s 让我砍他。
1236s 如果我不砍他,
1237s 我就成他孙子了。
1239s 我一怒之下,
1240s 就砍了这颗狗头。
1242s 你把徐悠砍了?
1254s 徐悠是我多年的好友,
1260s 咱们破元少曲季州他立了头功,
1262s 你把他砍了?
1263s 我陪他一个人走就是了。
1264s 说得好,
1265s 把徐叔给我推出去,
1266s 斩首示众。
1268s 遵命。
1269s 徐叔他,
1270s 九星沙场,
1271s 履历战功啊,
1272s 父亲饶恕他吧。
1273s 不成,
1275s 军法难容,
1276s 他砍了徐悠,
1277s 更是天理难容,
1278s 给我把他推出去,
1279s 斩了。
1280s 丞相,
1281s 父亲,
1282s 他是一身冲动啊,父亲。
1283s 我不能一身冲动,
1284s 我早就要栽他。
1286s 反了,
1287s 反了,
1288s 反了,
1289s 给我推出去,
1290s 推出去,
1291s 砍了。
1293s 丞相,
1294s 徐楚确实有罪,
1297s 但徐悠在成关前狂妄叫嚣,
1300s 在下也是亲耳听到过,
1303s 的确如丞相太慎,
1306s 在下建议厚葬徐悠,
1309s 表奏天子,
1310s 追封徐悠为当阳侯,
1312s 同时严惩徐楚,
1314s 令徐楚在徐悠坟前叩首认罪。
1318s 徐悠给咱们立了大功,
1334s 咱们才刚刚进城,
1336s 我就把他杀了。
1338s 天下的人会怎么想我,
1341s 他们会觉得我心胸狭隘,
1343s 人家刚说了我几句,
1345s 我就招人把他杀了。
1347s 世人断不会这样揣想,
1351s 因为徐悠满口胡言,
1354s 实是无中生有,
1356s 痴人说梦。
1358s 那你怎么才能证明他是
1360s 满口胡言,
1361s 痴人说梦呢?
1362s 在下请才士们写篇奏文,
1365s 为丞相歌功颂德,
1367s 不吃许用。
1368s 另外,
1370s 这篇奏文,
1371s 就请陈琳来撰写
1373s 是最为合适,
1374s 她的如船之笔,
1376s 堪称尚佳,
1378s 文章奏成以后,
1380s 定能像当年的
1381s 讨贼习文一样,
1382s 令海内外传送。
1384s 那要是陈琳清高不愿意写呢?
1387s 在下前去拜访,
1389s 当面说服陈琳,
1401s 徐初,
1402s 你杀了我多年好友,
1404s 原本罪不可恕,
1406s 但是我念你,
1408s 醉酒过失,
1411s 就饶你不死,
1413s 但是从即日起,
1415s 降违不足,
1417s 你去养马吧,
1419s 还有三个月之内,
1421s 不许喝酒,
1423s 你得去许忧的坟头,
1427s 给他磕头,
1429s 快写吧,
1435s 快啊,
1436s 快走啊,
1437s 醉将谢恩,
1443s 滚吧,
1447s 徐先生,
1453s 先生,
1456s 多谢开言相救,
1462s 不必客气了,
1465s 先生,
1466s 刚才在堂上,
1468s 有一件事,
1469s 让我好生糊涂,
1471s 你有什么糊涂的?
1476s 你看啊,
1477s 曹匹公子为我求情,
1479s 这人都跪下了,
1480s 主公就是不准,
1481s 可是你一求情,
1483s 主公就准了,
1484s 你这是为何?
1486s 世子年轻,
1487s 不知道哪句话,
1489s 才能说到丞相的心里去,
1491s 我老了,
1492s 略知一点,
1494s 太好了,
1495s 先生,
1499s 你再替我求情,
1502s 你又惹什么祸了?
1504s 没有,
1505s 喝酒的事,
1509s 你看啊,
1510s 主公让我当部族,
1512s 做马夫怎么都成,
1514s 就连给那个许忧客,
1515s 一百个头我都忍,
1516s 你是不让喝酒,
1518s 足足三个月啊,
1520s 非把我憋死不堪吗?
1528s 你真是得寸进尸,
1533s 这个情啊,
1534s 我不求,
1535s 别别别,
1536s 先生,
1538s 救人救到底,
1540s 你要是帮这大王,
1542s 许主这辈子,
1543s 都感谢你的大恩,
1545s 什么心思?
1546s 我告诉你,
1552s 你是丞相最喜欢的战将,
1555s 你今天做了一件,
1557s 丞相想做,
1558s 而不敢做的事情,
1560s 杀许诺,
1562s 丞相气你是假,
1564s 爱你才是真,
1566s 怎么就没看出来呢,
1567s 你说,
1568s 你要是看出来了,
1570s 你还是决定杀了他吧,
1572s 是,
1573s 是,
1574s 是,
1582s 是,
1583s 是,
1584s 要是看出来了,
1585s 你还是局除骂,
1587s 丞相之所以罚你做马夫,
1589s 之所以罚你进京,
1591s 都是为了磨练你的性子,
1595s 丞相想把你培养成为,
1597s 三军主将,
1599s 怎么样,
1609s 还让我替你去求情吗?
1611s 我,
1617s 我为马权,
1642s 天下九州,
1643s 大半已收入父亲当中,
1645s 现在只剩下,
1647s 刘表,
1648s 刘彰,
1649s 孙全等辈了,
1659s 刘表啊,
1660s 陆路无为,
1661s 不过是个守称之辈,
1663s 今周早晚是我的,
1666s 刘彰就不用说了,
1668s 孙全,
1671s 如秀未干,
1673s 兵少将寡,
1675s 不足为虑,
1676s 刘辈呢,
1679s 刘辈在哪儿?
1682s 刘辈投奔刘表之后,
1685s 已在小城心野诸君,
1688s 此城,
1689s 地不到百里,
1691s 兵不足三千,
1693s 因此,
1694s 就没标赏,
1696s 刘辈不出,
1698s 终是祸患,
1702s 父亲,
1703s 袁绍死后,
1705s 我们军事大赈,
1707s 现有部军三十万,
1709s 马军十五万,
1710s 水军二十万,
1711s 总计六十五万,
1713s 其他各路诸侯加到一块,
1716s 也不如我军的一半呢,
1719s 先让三军修整一年,
1721s 立兵莫马,
1722s 储备粮草兵器,
1724s 之后,
1725s 我要一鼓作气,
1727s 一统天下,
1729s 曹操决开张河,
1760s 再次大破援兵,
1763s 袁绍气得吐血暴亡了,
1766s 袁潭,袁尚等公子,
1770s 在大难临头时,
1772s 仍在争夺世子之位,
1774s 被曹操乘机猛攻,
1776s 最后,
1778s 几十万援兵残部
1780s 全部被曹操歼灭了,
1782s 袁氏二公子,
1787s 他往辽东避难,
1789s 又被辽东太守,
1791s 攻孙康斩杀,
1794s 二元受急,
1796s 被当作礼物,
1798s 送亡许诚,
1800s 曹操陆续收取,
1803s 寄星并邮各州,
1805s 大半个天下,
1808s 落入了曹操的鬼囊中了,
1813s 曹操生事滔天哪,
1818s 禀主公,
1827s 刘表传话来,
1829s 要主公前往京州共度端午佳节,
1831s 请问,
1853s 阁下是刘皇叔吗?
1855s 正是在下,
1857s 我是蔡氏,
1859s 嫂夫人,
1861s 在下失礼了,
1865s 不必多礼,
1867s 京州好吗?
1869s 好,好,甚好,
1871s 那你就多待些日子吧,
1873s 莫非是要撵我走,
1891s 皇叔,请进府吧,
1893s 主公等候多时了,
1904s 宣德,你胖了,
1908s 气韵饱满,
1910s 身形丰硕呀,
1914s 明公啊,
1916s 在下年近五十了,
1920s 身无寸功,
1922s 足无寸土,
1924s 只有臂肉复生了,
1935s 庸庸碌碌,
1937s 日月蹉跎,
1939s 老知将至,
1943s 宣德,
1945s 你还不满五十,
1947s 就感叹,
1949s 老知将至,
1953s 我已经六世有四,
1957s 又当如何呢?
1959s 今日请你来,
1961s 是有一世,
1963s 隐忍多年,
1965s 苦恼不可,
1967s 想请你,
1970s 为我一决,
1972s 请明公吩咐,
1976s 我有两个儿子,
1983s 长子刘齐,
1985s 是前妻所生,
1989s 人虽然贤良,
1991s 却性格柔弱,
1993s 难以脱大业,
1997s 四子刘从,
1999s 是后妻蔡氏所生,
2001s 聪明灵敏,
2005s 迫让我喜安,
2007s 蔡氏主打内部,
2009s 提帝蔡茂,
2011s 又是荆州的上将军,
2014s 他二人,
2016s 多次劝我,
2020s 非常利用,
2022s 让我好生为难,
2028s 明公啊,
2030s 你知道,
2032s 袁绍为何败亡吗?
2034s 近人皆知,
2036s 袁绍,
2038s 袁绍,
2040s 是被曹操所败,
2042s 除了曹操善用兵外,
2045s 袁绍,
2047s 另有内患,
2049s 那就是,
2051s 他的三位公子,
2053s 为世子之位相争不下,
2055s 临敌之际,
2057s 甚至见死不救,
2059s 这才使得他,
2061s 大败于曹操,
2063s 明公,
2065s 恕在下直言,
2067s 为掌利诱,
2069s 自古便是曲乱之道,
2071s 更何况,
2073s 你已经说过,
2075s 刘齐贤良啊,
2077s 即使,
2079s 我有立刘齐之意,
2081s 但,
2083s 蔡氏一门,
2085s 荆州望族,
2087s 士胜力强,
2089s 他们要不愿意,
2091s 我怕,
2093s 激起内乱啊,
2095s 明公,
2105s 今日端午佳节,
2107s 在下敬你一中,
2109s 祝贵府佳人和睦,
2111s 荆州太平昌盛,
2113s 宣德,
2120s 今晚,
2122s 就不要回新野了,
2124s 就在客馆住下,
2126s 明日,
2128s 咱接着喝酒,
2130s 明公啊,
2139s 刚才,
2145s 在屋内,
2147s 多言,
2149s 现在,
2151s 让我斗胆说一句话,
2153s 立世子之事,
2155s 性命攸关啊,
2157s 只能明公,
2159s 一人做主,
2161s 任何人不能介入,
2163s 如果明公,
2165s 忧虑蔡氏一门权重,
2167s 应该徐徒血治,
2169s 否则,
2171s 谁为荆州之主啊?
2178s 多谢明公美酒,
2180s 在下暂且告辞,
2182s 明日相会。
2205s 你这是怎么了?
2207s 有何话,起来说。
2209s 主公,
2211s 平亲害怕。
2213s 你怕什么?
2215s 平亲害怕,
2220s 刘备会夺了你的荆州,
2222s 会灭了我们蔡氏满门。
2224s 你怎么会有这个念头?
2226s 刘备和刘齐,
2230s 已经抱成团了。
2232s 刘备此次来荆州,
2234s 就是刘齐请来的。
2236s 刘齐想利用刘备,
2238s 帮他立为世子,
2240s 而刘备则想利用刘齐,
2242s 帮他谋取荆州。
2244s 主公,
2246s 如果不除掉刘备,
2248s 恐怕,
2250s 早晚会大祸临头啊。
2252s 胡言乱语。
2254s 主公,
2256s 也许是贫妾多虑了。
2258s 但是,
2260s 请主公好声想想,
2262s 难道贫妾所说的,
2264s 就绝无可能吗?
2266s 难道他们,
2268s 就没有半点那样的念头吗?
2270s 就算是贫妾胡言乱语,
2277s 请主公多多少少,
2281s 也提防着点。
2283s 你找我。
2306s 再不动手,恐怕就来不及了。
2308s 出什么事了?
2310s 主公今晚宴请刘备,
2312s 只请了他一人。
2314s 西间,
2316s 主公秘密向刘备
2318s 征询立楚的看法。
2320s 刘备说,
2323s 费掌利诱,
2325s 自古便是取乱之道。
2327s 这次好大胆,
2329s 竟敢干涉我荆州正事。
2331s 他还跟主公说,
2333s 袁绍之所以兵败,
2335s 就是因为诸子征大魏,
2337s 彼此见死不救,
2339s 由内乱导致败亡。
2341s 你听听,
2346s 他这不是想趁乱谋取荆州吗?
2348s 此人要是不除,
2350s 马上就要大祸临头。
2355s 刘备现在何处?
2357s 主公让他今晚别回新野,
2359s 就住在客馆内。
2361s 我立刻调集人马,
2363s 趁夜杀之,
2365s 绝出后患。
2367s 然后,
2369s 我自就向主公请罪。
2371s 二弟只管放手去做。
2373s 我料想,
2375s 主公即便知道刘备被杀,
2377s 虽然恼怒,
2379s 却也不至于治你的罪。
2381s 这是为何?
2383s 你向主公请罪的时候,
2389s 我和刘从,
2391s 也会跪在你的身边,
2393s 一起向他哭诉。
2395s 而主公,
2397s 他肯定心知肚明。
2399s 他知道,
2401s 荆州的军政大部落于蔡氏之手。
2403s 他即便是想杀,
2405s 他既杀不动你,
2407s 也杀不动我。
2409s 更舍不得,
2411s 杀他的爱子刘从。
2413s 更何况,
2415s 他年事已高,
2417s 别无所靠。
2419s 他只能依靠你我,
2421s 来帮他维持荆州大业。
2423s 所以,
2425s 他定会接受
2427s 继承事实。
2431s 原来,
2433s 姐把一切都料理好了。
2435s 我这就去办。
2437s 有一件事你必须当心,
2439s 就是刘备手下的那些汉将们。
2441s 刘备被杀,
2443s 那些人肯定是要为主子复仇的。
2447s 关张罩虽然英勇,
2449s 但我荆州将士也绝非庸俗啊。
2451s 我们数十万人马,
2453s 难道还灭不掉他两三千人啊?
2455s 再说了,刘备已死,群龙无首,
2457s 军心随之大乱,
2459s 九杀他们易如反掌。
2461s 说得好,
2463s 快去办吧。
2465s 遵命。
