6s 石渊,你以为我不想取川帝吗?
503s 让刘备知道,成都已有防备,不敢妄动。
507s 再有,调动所有川军,攻杀刘备。
528s 刘章派人送什么礼物来了?有书信吗?
531s 礼物在此,主公不必动怒。
549s 主公,刘章已下令各官天军防守,不准荆州一兵一卒入关。
556s 此外,川军上将张任已率十二万大军开向我们家门关了。
563s 张永田是怎么死的?是谁出卖的他?
571s 张宗的胞兄,张肃。
573s 张任大军去此还有多远?
582s 不足五十里,估计明天正午就能行程维城指示。
588s 你意如何?
590s 家门关虽然坚实,但城中已无粮草,断难久迟。
596s 我们应该赶快离开这里,去东面的洛城。
600s 那里是川东重镇,粮草足备。
603s 取洛城后,我们就有了立足之地。
606s 退,可回荆州,进,可图川数。
611s 遵命。
619s 把图拿上来。
677s 诺。
678s 法正说了,此地距洛城只有三十里。
693s 左边大路通往洛城东门,右面小路通往洛城西门。
699s 主公啊,我与魏安率五千骗士。
704s 严小路攻起洛城西门。
707s 请主公率皇中引军两万,攻起洛城东门。
713s 我们前后相攻,洛城必定拿下。
717s 我自幼贤淑公嘛,惯行小路。
734s 你率大军攻东门,我率五千军攻西门。
738s 走大路,可能有福君啊。
741s 主公善战,主公还是引大军行大路。
746s 我引骗士行小路。
748s 军师啊,天气如此阴沉,恐有不祥之兆吧。
762s 树中多阴雨天,请主公无虑。
769s 我们还是不要分兵了。
773s 一起沿小路前进,如何?
777s 也好,全军分成三路。
781s 我与魏安领两千兵为前进。
784s 主公与皇中居中,流风断后,如何?
788s 刚才探马汇报,说小路异常安静。
793s 这反倒是我内心不安,唯一我领前军。
799s 如有敌情,我在,将士必能死战。
806s 主公多虑了,流章胆小无谋。
810s 现在,他担心的是我们攻取成都。
814s 所以,小路定无埋伏。
817s 主公勿虑,还是我领前军。
820s 主公居中而行。
822s 我们现在要赶快拿下洛城为上。
825s 谢主公。
835s 军师,快替军师训批号码。
846s 诺。
847s 主公,在下有一个不情之请。
859s 请主公借我坐骑一用。
863s 你这人真奇怪。
867s 雷扬的时候,我把迪鲁马送给你。
870s 你说他不听使唤,又还了给我。
873s 今天怎么又要他?
876s 迪鲁马性情虽糟,却能救主。
880s 我既领前军,有匹好马,还是方便一些。
885s 来,扶军师上马。
890s 多谢主公大恩,庞统万死不能报。
894s 军师,区区一匹马,何必说这些?
898s 前面山市恐有伏兵。
964s 我们是否暂停前进,派捎机前去打探一番。
969s 我已经细细查看过了。
971s 如果有伏兵的话,林中的鸟早就惊飞了。
975s 你看,那林中的鸟不是鸡扎如常吗?
980s 威严。
985s 军师。
987s 山路越来越狭窄了。
989s 你率大军随后,我走前面。
992s 军师,还是让末将先行吧。
995s 快快跟上军师。
996s 诺。
1000s 这是他们的前哨,放他们过去。
1012s 等刘卫的大队人马过来再打。
1023s 我们到了什么地方?
1033s 启禀军师,这里名叫洛凤坡。
1035s 洛凤坡?
1040s 洛凤坡,道号凤厨。
1044s 而此地偏偏叫洛凤坡。
1047s 看来,这是上天赐我的葬身之地呀。
1055s 放箭。
1057s 不好,有伏兵。
1088s 敌军在两边山上射下埋伏。
1147s 军师身中四十余箭。
1149s 阵崩了。
1152s 主公。
1154s 主公。
1155s 主公。
1157s 主公。
1158s 主公。
1159s 主公。
1160s 主公。
1166s 这是军师给主公的信。
1176s 目的就是逼刘长对主公动手。
1179s 主公不是担心出师无名吗?
1182s 现在主公出师有名了。
1185s 刘长恩将仇报。
1187s 在主公退军路上射伏,并杀死了你的军师。
1192s 主公以此为名,攻取西川。
1195s 这足以说服天下人了吧?
1197s 足以说服主公自己了吧?
1200s 前面是四谷洛凤坡。
1202s 那是我们回荆州的路上最适合伏兵的地方。
1207s 也是上天留给我的上家目的。
1210s 张仁会射伏?
1224s 军师怎么会想不到?
1226s 主公的敌军马当心而行。
1249s 敌军把他当成伏工,万箭射向他。
1253s 我是派了一百多顿排兵,都没有能够挡住乱箭的。
1258s 将士们听着!
1270s 刘长背信弃义!
1274s 突袭我军前部!
1277s 射杀军师!
1279s 随我杀回西川!
1282s 为军师报仇!
1284s 哀哉痛哉!
1343s 今年刚兴偏西,天狗泛灭。
1348s 不利于我西征大军。
1351s 我已经数性催促主公办事。
1353s 可叹庞统遇见大国,怂恿主公不肯退运。
1357s 数日间。
1360s 先生,欠关平将军星夜送来一针急箭。
1379s 关平呢?
1380s 他两日间奔驰了八百多里,刚下马就晕倒了。
1384s 西西那天,庞统在落凤坡山中四十多箭,当即死亡。
1408s 主公要我率军入川相助,我必须速速前去。
1417s 军师如果入川,那荆州,托付给谁啊?
1423s 主公心上虽然没有说,但我已知道他的用意了。
1429s 是谁?
1431s 主公派谁来送的信?
1433s 关平将军。
1434s 这不就明白了吗?
1436s 主公是想让关羽来镇守荆州。
1441s 关羽听令!
1448s 在!
1449s 荆乡九郡,乃我军心腹根据,干系极为重大。
1456s 我走后命你镇守荆州。
1460s 将军与主公桃园结义,情义深于海。
1464s 望将军不负主公重托,万万不可失去荆州。
1470s 军师放心,大丈夫戒柄中任,至死方休。
1477s 将军为何说到一个死字?
1480s 军师,有什么不安吗?
1485s 我请问你,如果草草引兵来袭,你如何应敌?
1491s 我率兵迎战。
1493s 如果草草和孙权同时引兵来袭,你又当如何?
1497s 分兵迎战。
1501s 如此荆州必是。
1504s 我送给将军八个字,将军牢记信中,便可保荆州无忧。
1511s 请军师事项。
1513s 北拒草草,东河孙权。
1516s 记下来。
1520s 请将军重复一遍。
1528s 北拒草草,东河孙权。
1531s 将军接应。
1549s 你看看,你看看。
1550s 诸葛亮已经率领张飞赵云,还有荆州三万铁甲,杀入川地了。
1557s 三天以前已经兵过福城了。
1562s 沿途川军纷纷逃败,弃城。
1570s 刘备没走,诸葛亮又来了。
1573s 你说,你说怎么办?
1576s 主公,事已至此,我看只有一个办法了。
1583s 快说,什么办法?
1585s 只有请,请张露派兵入川,抗击荆州之敌。
1592s 张露与主公有杀母之仇,岂能出兵相救啊?
1596s 张露乃是川蜀大敌。
1598s 我们这样,岂不就是开门即到吗?
1601s 是啊,此生万万不可,不能让他入川。
1605s 两年前,我请刘备入川,抗击张露。
1609s 现在,又怎么能请张露抗击刘备呢?
1614s 主公,我觉得黄泉之策颇有道理。
1618s 刘备是一只虎,张露则是另一只虎。
1623s 两虎相争,西川方能无虞。
1631s 万机之下,也只好试试了。
1635s 不过,我与张露是仇,他如何敢发兵相助?
1641s 张露的军师,名叫杨松,此人贪婪。
1650s 如果主公答应杨松,隔川西二十县相赠,张露就一定会派兵来远。
1656s 不成!还二十县呢,一个县都不成。
1663s 我主公两代人,披荆斩棘创下的基业,一寸都不能丢。
1670s 舍不得这二十县,那就要丢掉整个川中。
1675s 如果足下愿意和川帝共存亡,就请披甲上阵,大战张飞赵云去。
1681s 二十县,就二十县吧。
1691s 黄泉,主公,你立刻出示汉中,说动张露来远。
1700s 诺,杨军师是汉中第一位明白人。
1717s 我主与贵主虽有世仇,但汉中与西川却是一脉相连,唇齿相依。
1725s 西川一旦被刘备所吞并,则是唇亡齿寒,贵主公也就睡在刀丛边上了。
1734s 为大局计,请贵主发兵攻袭刘备后路。
1739s 事成之后,我主愿意割让川西十个县,永远归属于汉中。
1746s 十个县恐怕不够吧,必须二十个县。
1756s 那也罢,二十就二十吧。
1766s 少做,我这就去觐见主公。
1840s 好啊,不过,卓阁亮所率的赵云张飞据都是当事勇将。
1870s 我汉中将军中何人能敌啊?
1876s 马超授主厚恩,无以回报。
1899s 元帅一之进履,攻取加盟关,生秦刘备,诸葛亮。
1908s 我有马孟启在,大事可成矣。
1914s 孟启啊,你需要多少兵马?
1917s 荆州军有多少兵马?
1920s 刘备、诸葛亮两军相加,不下于六万。
1926s 那我只需两万精兵足矣。
1931s 好,我给你精兵三万,命你攻下加盟关,将刘备逐出川地,取下川东二十县。
1941s 遵命。
1943s 都无险可守,只有绵竹一道屏障。
1953s 绵竹郡守礼言,兵部迎万,无法与我军抗衡。
1958s 在下的意思,瞿成都最好能逼刘章主动倾向,这样不至于结仇属人。
1973s 张鲁不可,但那马超之勇不下于吕布。
1979s 通关城下,他曾经杀得曹操丢亏弃甲,裹面而逃。
1991s 陈主公,张鲁派马超率军入川,正在急攻加盟关,梦达将军万急。
1996s 加盟关如果失了,我军覆备受敌,万难进军成都。
2001s 只有一得。
2004s 我冲进城去,杀二长片甲不留,没想何人。
2040s 小子,请让你爷爷报上姓名来。
2043s 本将乃西梁马代野。
2045s 哦,原来你这次不是马超啊,爷来得杀你,要进城喝酒去了。
2052s 休要张狂。
2061s 传燕人长辈的话去,叫马儿快来。
2067s 马超,果然名不虚传。
2097s 哼,什么紧不紧的。
2099s 哥哥,你看我戳他一万个窟窿去。
2103s 回来,敌军锐气正盛,不可接战。
2108s 不战等待何时啊?
2110s 等到午后,马超军气衰,再施行而定。
2119s 干嘛要等到人家气衰啊?气衰再打,有什么趣味啊?
2123s 怎么了?莫非马超要强行攻城?
2141s 张将军散开城门,迎战马超去了。
2144s 我履示功后,让三军点火验战。
2440s 遵命。
