6s 相父 这十年下来
9s 你已经古出旗山了
567s 他即使回营也未必会同意
573s 阿得呀
575s 你入巨敌
576s 就在此守营吧
578s 将军这是何话
579s 我与你同去
584s 众将听令
585s 末将在
586s 传令全军
587s 二更造范 三更起行
589s 天亮之前
590s 绕过龙溪
592s 直去北苑
593s 拜见丞相
610s 我来介绍
611s 这位是我的老友杨夷
614s 我请他出参任参军
616s 助我办理北伐军事
618s 见过参军
620s 众将威名 杨某久仰
622s 愿与列威将军共襄大业
625s 魏炎哪
626s 为何不来参见呢
628s 回丞相
629s 末将在半个时辰以前刚刚得知
632s 昨天夜里
633s 魏炎将军领着他的本部骑兵
635s 奔袭北园去了
636s 什么
638s 北园巨次近二百里
640s 深入敌军腹地
643s 他把两万铁骑都带去了吗
645s 是
646s 究竟发生何事了
650s 回丞相
651s 三天前
652s 魏军偏将郑文
653s 迎兵败将战
655s 不得已归降了魏炎
656s 尚将军怀疑此人
657s 是奉司马夷之命
658s 前来炸响
659s 夷的事
661s 接着说
662s 诺
663s 丞相
664s 事情是这样的
665s 吾文本是个无名小族
668s 其上司秦朗倒是一位小将
671s 郑文与其交战
672s 两何就斩了秦朗
674s 你们相信吗
675s 司马夷会这么用人吗
678s 照我看
680s 不但郑文归降是假
683s 只怕你个秦朗也是假的
685s 还有
686s 连司马夷在北园这事
688s 也一定是假的
690s 我的天哪
693s 若非丞相道破
695s 我等都还在梦中
698s 丞相
699s 魏炎所属两万铁骑
700s 皆是我军精锐
702s 以后攻长安下洛阳
703s 少不得他们
705s 如果他们被包围了
706s 被司马夷拒奸了
707s 那我们的北伐也就结束了
714s 这里
715s 魏炎前往北园
717s 必经紫石谷
718s 司马夷肯定会在这里服兵的
723s 将为王平听令
725s 在
725s 你二人率本部骑兵
727s 赶往此地
727s 反超魏军后路
729s 记住
730s 司马夷必带重军
732s 遇敌不可立战
734s 救出魏炎即可
736s 遵命
747s 郑文
748s 此地距北园还有多远
750s 禀尚将军
751s 还有十五里上下
757s 马丹
758s 你看
759s 此地地形险峻
761s 急已藏病
762s 传令各营
763s 快速通行
765s 遵命
766s 众军听令
768s 快速前行
769s 奔出谷地
770s 再行歇马
771s 快快快
773s 快快
841s 魏炎那几万铁骑
843s 都是蜀军精锐
845s 消灭他们之后
846s 就像长矛断了矛尖
848s 朱阁亮必为之胆寒
853s 那个骑黑马的就是魏炎吧
866s 十年前
872s 朱阁亮在剑阁道射伏
877s 又杀了张河将军
879s 今日我在此地斩杀魏炎
883s 也好告慰张河老将军了
886s 快带兵前往虎口
893s 不要让魏炎脱身了
895s 遵命
896s 蜀军援兵到了
904s 他们正从侧翼供我防后路
905s 这些人是来救援的
919s 并无大碍
920s 众军一起前往
925s 老将有罪
978s 请丞相言办
981s 丞相
982s 此事不怪魏炎
984s 是末将立功心切
985s 传到他去奔袭司马怡大营的
988s 怎么
989s 这八十军杖要你来领了
996s 丞相
997s 魏炎和马戴二位将军
999s 虽然贪攻冒进
1000s 但是在危机时刻并没有慌乱
1003s 而是与我不相和
1004s 共同攻杀了司马怡的后路
1006s 也杀敌尽万的
1008s 丞相啊
1015s 既然魏炎马戴他们
1016s 能够反败为胜
1018s 不妨
1019s 宽恕他们一回吧
1020s 令他们日后将功折罪
1022s 不是看在众人面上
1029s 本相定不轻饶
1034s 八十军杖暂时挂着
1038s 今日教训
1041s 你们可要牢记啊
1043s 多谢丞相
1049s 将尉
1050s 魏军情形如何
1052s 禀丞相
1053s 司马怡已经退回了
1054s 魏北的冷西大营了
1056s 那有三座她精心修筑的大寨
1058s 估计她是见首不站了
1061s 司马怡是天下第一善守大将
1065s 魏炎马戴
1073s 命你二人日日迎兵挑战
1077s 如果设法引出司马怡
1080s 我就恕了你们
1081s 轻军冒进之罪
1084s 遵命
1087s 遵命
1095s 你出来啊
1137s 尚将军
1139s 我们都挑战十来天了
1140s 王玛高子就是不出来
1142s 早就料到了
1148s 司马怡
1149s 她是不会上丞相的当的
1154s 莫说十日
1156s 就是白日她也不会出战
1161s 那怎么办
1163s 没办法
1165s 熬着吧
1166s 丞相令我们在这叫阵
1172s 那就是在熬炼咱们呢
1176s 我是熬不住了
1178s 尚将军你在这儿守着吧
1180s 我会赢了
1195s 丞相
1197s 兄台啊
1200s 烦劳你亲自去一趟魏盈
1203s 把这战书送给司马怡
1210s 还有这盒礼物也一并带上
1219s 如果司马怡收了礼物
1222s 却仍然坚守不战
1224s 该当如何呀
1225s 兄台放心
1227s 此物一到
1229s 司马怡必率军出战
1243s 大多多
1245s 大多多
1247s 蜀军日日在我营前骂阵
1249s 从五更一直骂到日落
1251s 都骂些什么
1254s 什么臭话都骂出来了
1256s 末将学不出口
1259s 让他们骂吧
1261s 骂得越厉害
1263s 说明诸葛亮求战越急
1267s 而我才越来越高兴
1274s 大多多
1275s 诸葛亮派使者前来拜营
1278s 直接冲我来了
1280s 让他进来
1282s 诺
1283s 在下参军杨夷
1285s 奉我家丞相之命
1296s 前来拜见魏国大都督
1300s 杨夷
1302s 朱葛亮让你来做何事
1304s 丞相命在下
1307s 送来战书一封礼物一件
1310s 怕我杀你
1320s 我家丞相说了
1322s 大都督大而勇 智而壮
1326s 立身威如泰山 皮厚
1330s 赛过城墙
1332s 水火不侵 喜怒无形
1335s 因此大都督你断不会
1339s 迁怒来时啊
1342s 知我者诸葛亮也
1344s 拿上来吧
1356s 亮 九慕重达神勇
1359s 统领万众之事
1361s 不料君竟然萎缩首尾狗拳性命
1364s 藏于土窟之中
1366s 与女人何以
1368s 亮 特此赠送金国艳符制
1371s 若不出战
1373s 请君败而受之
1375s 葛亮使我为妇人哪
1413s 孙李
1414s 这身衣服好生鲜艳哪
1439s 却不知大都督何提否
1482s 何提
1484s 恰如杯盏盖子盖在杯盏之上
1489s 言思何风啊
1492s 回去后替我向孔明致谢
1498s 好衣服 好料子 好心意
1502s 遵命
1505s 杨夷乃蜀汉大贤
1508s 你与我相见实属不易
1511s 将酒来
1512s 我要和杨大贤合几招
1514s 杨夷请
1539s 我都不害羞 你害什么羞
1553s 在下
1554s 从来没有见过
1556s 这么鲜艳的衣裳
1558s 照得我眼都花了
1560s 大都督请
1576s 精神如何
1578s 我家丞相身体健康
1581s 精神旺盛
1582s 饮食如何
1586s 睡眠如何
1588s 功务忙碌否
1592s 就是
1594s 睡眠少差些
1596s 我家丞相
1598s 功务禅身 日理万机
1600s 不得片刻闲暇
1602s 少睡而事多
1604s 不能长久
1606s 回去告诉孔明
1610s 人哪
1612s 得先清心寡欲
1615s 方能高枕无忧
1630s 谢大都督
1632s 告辞
1634s 丞相
1653s 司马一收了金国女符
1655s 非但不怒
1657s 反而当场穿在身上
1659s 请我饮酒
1660s 并问我丞相
1662s 饮食睡眠等事
1664s 我具实相告
1666s 司马一说
1667s 人哪
1669s 得先清心寡欲
1671s 方能高枕无忧
1674s 知我者司马一也
1677s 他看破了我的用心啊
1680s 丞相
1683s 军中粮草
1685s 只够五日所用了
1687s 如果司马一
1688s 还是坚守不战
1689s 那我们
1691s 只好缓缓撤军了
1693s 丞相
1696s 丞相
1698s 粮稻可有消息
1700s 我成会计急迟三十余里
1702s 快到祁山脚底下了
1703s 也没有看到粮车的影子
1704s 来信说
1715s 此次穿粮所运甚多
1720s 借粮官由上书令李峰担任
1724s 此人是我亲自举荐的
1728s 他从来不曾误过诗
1732s 丞相
1733s 期限已过三日
1735s 但李峰并未到营啊
1737s 每次北伐都为粮草所苦
1748s 要是荆州还在我们手里
1750s 那该多好啊
1752s 北域战事不顺
1759s 我都不免会想起荆州啊
1762s 在下理解
1782s 请大都督下令
1783s 我等要出营杀敌
1785s 请大都督下令
1787s 且慢
1789s 告诉我
1791s 为何这么激动
1792s 主帅受辱
1794s 三军谋凶
1797s 朱可良竟然
1798s 赶送女人的艳符来
1801s 可大都督居然不以为意
1804s 就这事啊
1806s 区区小事
1808s 何足挂齿
1810s 大都督能忍
1812s 众将不能忍啊
1813s 请大都督下令
1815s 我们愿意出战
1816s 让大都督下令吧
1827s 我早有令在先
1829s 不准出战
1833s 大都督
1836s 恕末将抗命了
1838s 我这就出营杀敌去
1841s 孙离
1841s 你找死吗
1846s 我宁肯死了
1849s 我也不能忍受这种耻辱
1852s 你听着
1853s 可以指涂自己快乐
1858s 但你死后
1860s 不但无功
1862s 我还会上奏朝廷
1864s 以叛将之罪
1866s 朝廷必然剥夺你
1868s 全部功名俸禄
1871s 你的父母妻儿
1872s 将会为你蒙受耻辱
1875s 被朝廷发配到边疆
1876s 被贬为奴
1878s 终生回不了京都
1884s 李将军
1908s 一定要相信本都
1910s 坚守不战
1912s 恰恰就是至上之道
1914s 毕将
1917s 只助个量于死地
1926s 诺
1927s 诺
1928s 为什么停下
1933s 前面怎么回事
1934s 禀大人
1935s 道路全让沙石冲塌了
1936s 什么
1937s 大人你看
1938s 这里在那天下了一场暴雨
1940s 道路全塌了
1942s 留下一百人看守粮食
1944s 其余的人全部跟我上去
1946s 抢修栈道
1947s 大人
1948s 咱们人本来就不多
1950s 再说
1950s 也没有开山的工具啊
1956s 就该走剑阁小道
1958s 该走剑阁小道要过百丈山
1960s 那里道路戏区
1961s 山路险峻
1962s 这粮食根本过不去啊
1963s 那咱们得靠人扛啊
1965s 就这么定了
1966s 能扛多少吃多少
1969s 遵命
1970s 兄弟们听着
1971s 该走剑阁小道
1985s 丞相
1988s 立风啊
1990s 总算把你盼来了
1993s 军粮运到了吧
1996s 丞相
1997s 栈道被冲坏了
1999s 下官带领军士们
2000s 坚扛人体
2002s 历经千般万苦
2004s 终于扛过来军粮
2005s 五千余弹
2007s 八个军师
2008s 跌落山崖
2009s 损害得严重吗
2015s 下官仔细查探过
2017s 总共损坏的山道
2018s 十四里
2020s 若要修复
2021s 非要来年不可
2023s 丞相
2026s 这栈道已断
2027s 粮车则不能通行
2029s 只能靠人
2030s 背着粮食走剑阁道
2032s 翻越百丈山
2033s 这样
2034s 一天最多也就能运来几百弹
2037s 无论如何
2038s 也不够大军用度的呀
2041s 苍天诛草不诛寒哪
2047s 丞相
2050s 是的
2055s 丞相
2056s 我们还是缓缓撤回寒中吧
2059s 否则
2060s 营中断粮后再走
2062s 就难了
2064s 不能撤军啊
2067s 大军进出一趟西山
2069s 诛多不易呀
2073s 李峰啊
2074s 你夜间
2077s 能扛多少粮过百丈山哪
2080s 哪怕日夜不出
2082s 也只能扛千丹上下
2084s 若果
2086s 给你添拨几千军士
2087s 可以多运些吗
2089s 山道崎岖险峻
2091s 只有池水困
2092s 人多并无用处
2094s 我有办法了
2099s 我有办法了
2100s 杨夷啊
2113s 劳给军营中的工匠
2119s 让他们赵徒
2121s 打造三百架
2122s 用来运粮
2124s 丞相
2127s 这是何物啊
2129s 又像是车
2130s 又像是牛马
2131s 这叫木牛
2134s 可以行驶于崎岖的山路
2139s 二十五年前
2141s 我在卧龙岗时就设计出来
2145s 原以为到中原打仗用不到它
2148s 没想到
2150s 今日竟然用于剑阁山道啊
2154s 好
2155s 这就好了
2156s 丞相
2159s 我这就去
2161s 打造三百架
2163s 少坦化妆深入旗山
2166s 他们看得清清楚楚
2168s 剑阁站道被冲回几十里
2170s 蜀军只能背梁过百丈山
2172s 实有赘颜二四正
2174s 他们费了九牛二虎之力
2176s 才扛过了几千单粮
2178s 现都囤在山外的驹马寨中
2183s 翻山扛粮
2185s 短短不足以养活三十万大军哪
2189s 如此看来
2190s 这蜀军只能喝西州了吧
2194s 长此以往
2195s 军无斗志 民无战心
2197s 必生变乱哪
2199s 应该让他们连粥也喝不成
2205s 司马昭听令
2207s 末将在
2209s 亲率五千赶战之事
2212s 扶于驹马寨附近
2215s 等寨中蜀军
2216s 转运粮食于旗山大营时
2219s 就大特个福气
2220s 连驹马寨一并烧掉
2224s 遵命
2227s 这里面会不会有诸葛亮的奸计
2231s 什么奸计
2233s 比如
2234s 比如说
2235s 剑阁栈道是诸葛亮自己毁掉的
2238s 以此诱我出军呢
2240s 想法很深远
2242s 可你也不必多虑了
2245s 诸葛亮什么都敢拿来诱我
2248s 唯独这剑阁栈道他断然不敢
2251s 毁了剑阁栈道
2253s 就算蜀军打赢咱们
2256s 蜀军也得饿死
2258s 你放心前去吧
2260s 遵命
2263s 末将愿和少将军一同前往
2265s 主人
2266s 蜀军俩车来了
2302s 飞车飞船
2304s 飞驴飞马的
2306s 还能用来运粮
2312s 蜀军兵士不多
2313s 不可大意
2317s 我看我们最好分成两步
2319s 一步负责冲杀
2320s 一步担任援军
2321s 以防不测
2322s 好
2323s 少将军为援军
2325s 我引军杀过去
2330s 孙离
2332s 你要记住
2334s 只可冲杀
2335s 不能追击
2337s 另外
2338s 最好能夺回几两大怪物
2340s 带回去呈给大都督
2357s 来慢点
2358s 兄弟们
2359s 给我杀
2381s 你来看
2381s 大都督
2384s 末将亲眼所见
2386s 蜀军就是用这么个玩意运粮草
2395s 此物可在上千斤粮草
2398s 旗下却只有一个轮子
2400s 只要人能过的山路
2402s 他都能过
2403s 我和少将军一个都没给他们留
2405s 全部拿回来了
2422s 这物看起来沉重
2427s 用起来真是轻便啊
2429s 这两针一人哪
2434s 能设计出这等怪物来
2438s 或许不是朱国亮设计的
2441s 山野林下
2442s 何处没有异事怪节
2445s 是吗
2447s 那异事怪节为何不投靠位
2450s 反而投靠蜀呢
2452s 国怀啊
2460s 在
2461s 传令工匠
2462s 熟悉此物 用以运粮
2465s 遵命
